requirement,model_answer
Allow HTTP traffic from LAN to WAN on Router1,"    ~~~Router1~~~~
    interface FastEthernet0/0
    ip address 192.168.1.1 255.255.255.0
    ip http server
    exit
    ~~~Router2~~~~
    interface FastEthernet0/0
    ip address 192.168.2.1 255.255.255.0
    ip http server
    exit"
Permit ICMP echo requests from Router3 LAN to Router2 LAN,"    ```
    Router3# configure terminal
    Router3(config)# ip access-list standard permit-icmp-echo-req
    Router3(config-std-acl)# permit icmp any any echo
    Router3(config-std-acl)# exit
    Router3(config)# interface fastethernet 0/0
    Router3(config-if)# ip access-group permit-icmp-echo-req in
    Router3(config-if)# exit
    ```
    ```
    Router2# configure terminal
    Router2"
Deny Telnet traffic from Router4 to any destination,"    ```
    Router4# configure terminal
    Router4(config)# ip access-list extended DENY_TELNET
    Router4(config-ext-nacl)# deny tcp any any eq 23
    Router4(config-ext-nacl)# exit
    Router4(config)# interface serial 0/0
    Router4(config-if)# ip access-group DENY_TELNET in
    Router4(config-if)# exit
    ```"
Allow SSH traffic from Router2 LAN to Router1 LAN,"    ```
    Router1# configure terminal
    Router1(config)# ip access-list extended SSH-ALLOW
    Router1(config-ext-nacl)# permit ip any any
    Router1(config-ext-nacl)# exit
    Router1(config)# interface fastethernet 0/0
    Router1(config-if)# ip address 192.168.1.1 255.255.255.0
    Router1(config-if)# exit
    Router1(config)#"
Permit SNMP traffic from Management Network to all routers,"    ~~~mgmt_router~~~~
    snmp-server enable traps
    snmp-server host 10.1.1.100 version 2c
    snmp-server community public
    snmp-server group public v2c
    snmp-server group public v3 auth md5 public
    snmp-server group public v3 priv aes 128
    snmp-server group public v3 priv aes 128
    snmp-server group public v3 priv aes 128
    snmp-server group public v3 priv a"
Deny FTP traffic from Router1 to external networks,"    ```
    Router1(config)# ip access-list extended DENY_FTP
    Router1(config-ext-nacl)# deny ftp any any
    Router1(config-ext-nacl)# exit
    Router1(config)# interface fastethernet 0/0
    Router1(config-if)# ip access-group DENY_FTP in
    ```"
Allow DNS traffic from LAN to WAN on Router3,"    ```
    Router3# configure terminal
    Router3(config)# ip access-list extended DNS_ALLOW
    Router3(config-ext-nacl)# permit udp any any eq 53
    Router3(config-ext-nacl)# exit
    Router3(config)# interface FastEthernet0/0
    Router3(config-if)# ip access-group DNS_ALLOW in
    Router3(config-if)# exit
    ```"
Permit ICMP echo replies from WAN to LAN on Router4,"    ```cisco
    Router4# configure terminal
    Router4(config)# ip access-list extended WAN-to-LAN
    Router4(config-ext-nacl)# permit icmp any any echo-reply
    Router4(config-ext-nacl)# exit
    Router4(config)# interface FastEthernet0/0
    Router4(config-if)# ip access-group WAN-to-LAN in
    Router4(config-if)# exit
    ```"
Deny UDP traffic on port 69 from LAN to WAN on Router2,"    ```
    Router2# configure terminal
    Router2(config)# access-list 101 deny udp any any eq 69
    Router2(config)# interface fastethernet 0/1
    Router2(config-if)# ip access-group 101 in
    ```"
Allow NTP traffic from Router4 to external time servers,"    ```cisco
    Router4# configure terminal
    Router4(config)# ip ntp server 10.1.1.1
    Router4(config)# ip ntp server 10.1.1.2
    Router4(config)# ip ntp server 10.1.1.3
    Router4(config)# ip ntp server 10.1.1.4
    Router4(config)# ip ntp authentication key 1
    Router4(config)# ip ntp authentication mode md5
    Router4(config)# ip n"
Permit SMTP traffic from Router1 LAN to Router3 LAN,"    ```cisco
    Router1# configure terminal
    Router1(config)# ip access-list extended ALLOW_SMTP
    Router1(config-ext-nacl)# permit tcp any any eq 25
    Router1(config-ext-nacl)# exit
    Router1(config)# interface fastethernet 0/1
    Router1(config-if)# ip address 192.168.1.1 255.255.255.0"
Deny SNMP traffic from WAN to LAN on Router2,"    ```cisco
    Router2# configure terminal
    Router2(config)# snmp-server host 192.168.1.100 deny
    Router2(config)# exit
    ```"
Allow TFTP traffic from Router3 to Router4,"    ```
    Router3# configure terminal
    Router3(config)# ip access-list extended TFTP_ALLOW
    Router3(config-ext-nacl)# permit udp any eq 69 Router4
    Router3(config-ext-nacl)# exit
    Router3(config)# interface FastEthernet0/0
    Router3(config-if)# ip address 192.168.1.3 255.255.255.0
    Router3(config-if)# exit
"
Permit HTTPS traffic from LAN to WAN on Router1,"
    ~~~Router1~~~~
    interface FastEthernet0/0
    ip address 192.168.1.1 255.255.255.0
    ip http server
    ip http secure-server
    exit
    ~~~Router2~~~~
    interface FastEthernet0/0
    ip address 192.168.2.1 255.255.255.0
    ip http server
    ip http secure-server"
Deny NetBIOS traffic from Router2 to Router1,"    ~~~Router1~~~~
    ip access-list extended deny-netbios
      deny ip any any netbios
    !
    access-group deny-netbios in
    ~~~Router2~~~~
    ip access-list extended deny-netbios
      deny ip any any netbios
    !
    access-group deny-netbios in"
Configure IP addresses on Router1 interfaces,"    ```
    Router1# configure terminal
    Router1(config)# interface FastEthernet0/0
    Router1(config-if)# ip address 192.168.1.1 255.255.255.0
    Router1(config-if)# no shutdown
    Router1(config-if)# exit
    Router1(config)"
Configure IP addresses on Router2 interfaces,"    ```
    Router2# configure terminal
    Router2(config)# interface FastEthernet0/0
    Router2(config-if)# ip address 192.168.1.1 255.255.255.0
    Router2(config-if)# exit
    Router2(config)# interface FastEthernet0/1
    Router2"
Configure IP addresses on Router3 interfaces,"    ```
    Router3# configure terminal
    Router3(config)# interface FastEthernet0/0
    Router3(config-if)# ip address 192.168.1.1 255.255.255.0
    Router3(config-if)# no shutdown
    Router3(config-if)# exit
    Router3(config)"
Configure IP addresses on Router4 interfaces,"    ```
    Router4# configure terminal
    Router4(config)# interface FastEthernet0/0
    Router4(config-if)# ip address 192.168.1.1 255.255.255.0
    Router4(config-if)# no shutdown
    Router4(config-if)# exit
    Router4(config)"
Enable interfaces giga0/0 on Router1 and Router3,"    ```
    Router1# configure terminal
    Router1(config)# interface gigabitethernet 0/0
    Router1(config-if)# ip address 192.168.1.1 255.255.255.0
    Router1(config-if)# encapsulation dot1q 100
    Router1(config-if)# exit
    Router1#

    Router3# configure terminal
    Router3(config)# interface"
Enable interfaces giga0/1 on Router1 and Router2,"    ```
    Router1# configure terminal
    Router1(config)# interface gigabitethernet 0/1
    Router1(config-if)# ip address 192.168.1.1 255.255.255.0
    Router1(config-if)# encapsulation dot1q 100
    Router1(config-if)# exit
    Router1(config)#

    Router2# configure terminal
    Router2(config"
Enable interfaces giga0/2 on Router1 and Router4,"    ```
    Router1# configure terminal
    Router1(config)# interface gigabitethernet "
Enable interfaces giga0/0 on Router2 and Router4,"    ```
    Router2# configure terminal
    Router2(config)# interface gigabitethernet 0/0
    Router2(config-if)# ip address 192.168.1.2 255.255.255.0
    Router2(config-if)# encapsulation dot1q 100
    Router2(config-if)# exit

    Router4# configure terminal
    Router4(config)# interface gigabitethernet "
Enable interfaces giga0/1 on Router2 and Router1,"    ```
    Router2# configure terminal
    Router2(config)# interface gigabitethernet 0/1
    Router2(config-if)# ip address 192.168.1.2 255.255.255.0
    Router2(config-if)# bandwidth 1000000000
    Router2(config-if)# exit
    Router2(config)#

"
Enable interfaces giga0/2 on Router2 and Router3,"    ```
    Router2# configure terminal
    Router2(config)# interface gigabitethernet 0/2
    Router2(config-if)# ip address 192.168.1.2 255.255.255.0
    Router2(config-if)# no shutdown
    Router2(config-if)# exit
    Router2(config)# ip routing

    Router3# configure terminal
    Router3(config)# interface gigabitether"
Enable interfaces giga0/0 on Router3 and Router4,"    ```
    Router3# configure terminal
    Router3(config)# interface gigabitethernet 0/0
    Router3(config-if)# ip address 192.168.1.3 255.255.255.0
    Router3(config-"
Enable interfaces giga0/1 on Router3 and Router2,"    ```
    Router3# configure terminal
    Router3(config)# interface GigabitEthernet0/1
    Router3(config-if)# ip address 192.168.1.3 255.255.255.0
    Router3(config-if)# bandwidth 1000000000
    Router3(config-if)# exit

    Router2# configure terminal
"
Enable interfaces giga0/2 on Router3 and Router1,"    ```
    Router3# configure terminal
    Router3(config)# interface gigabitethernet 0/2
    Router3(config-if)# ip address 10.1.1.100 255.255."
Enable interfaces giga0/0 on Router4 and Router2,"    ```
    Router4# configure terminal
    Router4(config)# interface gigabitethernet 0/0
    Router4(config-if)# ip address 10.1.1.4 255.255.255.0
    Router4(config-if)# bandwidth 1000000000
    Router4(config-if)# exit
    Router4#

    Router2# configure"
Enable interfaces giga0/1 on Router4 and Router3,"    ```
    Router4# configure terminal
    Router4(config)# interface gigabitethernet 0/1
    Router4(config-if)# ip address 10.1.1.4 255.255.255.0
    Router4(config-if)# bandwidth 1000000000
    Router3# configure terminal
    Router3(config)# interface gigabitethernet 0/"
Enable interfaces giga0/2 on Router4 and Router1,"    ```
    Router4# configure terminal
    Router4(config)# interface gigabitethernet 0/2
    Router4(config-if)# ip address 192.168.1.100 255.255.255.0
    Router4(config-if)# no shutdown
    Router4(config-if)# exit
    Router4(config)# ip routing

    Router10# configure terminal
    Router10(config)#"
Configure routing protocol between Router1 and Router2,"    ```
    Router1# configure terminal
    Router1(config)# router ospfv3 1
    Router1(config-router)# network 10.1.1.0/24 area 0
    Router1(config-router"
Configure routing protocol between Router1 and Router3,"    ```
    Router1# configure terminal
    Router1(config)# router ospfv3 1
    Router1(config-router)# network 192.168.1.0/24 area 0
    Router1(config-router)# cost 10
    Router1(config-router"
Configure routing protocol between Router1 and Router4,"    ```
    Router1# configure terminal
    Router1(config)# router ospfv3 1
    Router1(config-router)# area 0
    Router1(config-router)# interface Ethernet0/0
    Router1(config-if)# ipv6 address 2001:DB8:1::1/64
    Router1(config-if)# ipv6 ospf 1 area 0
    Router1(config-if)# exit
    R"
Configure routing protocol between Router2 and Router4,"    ```
    Router2# configure terminal
    Router2(config)# router ospfv3 1
    Router2(config-router)# network 192.168.1.0/24 area 0
    Router2(config-router)# priority 100
   "
Configure routing protocol between Router2 and Router3,"    ```
    Router2# configure terminal
    Router2(config)# router ospfv3 1
    Router2(config-router)# network 2001:db8:12"
Configure routing protocol between Router3 and Router4,"    ```cisco
    Router3# configure terminal
    Router3(config)# router ospfv3 1
    Router3(config-router)# area 0
    Router3(config-router)# interface Ethernet 0/0
    Router3(config-if)# ipv6 address 2001:DB8:1::1/64"
Configure static route on Router1 for network 50.0.0.0/24,"
    ```cisco
    Router1# configure terminal
    Router1(config)# ip route 50.0.0.0 255.255.0.0 10.1.1.1
    ```"
Configure static route on Router2 for network 30.0.0.0/24,"    ```
    Router2# configure terminal
    Router2(config)# ip route 30.0.0.0 255.255.0.0 192.168.1.1
    ```"
Configure static route on Router3 for network 40.0.0.0/24,"    ~~~Router3~~~~
    Router3# configure terminal
    Router3(config)# ip route 40.0.0.0 25"
Configure static route on Router4 for network 20.0.0.0/24,"    ```
    Router4(config)# ip route 20.0.0.0 255.255.255.0 192.168.1.1
    ```"
Allow ICMP traffic from Router1 to Router4,"    ```
    Router1# configure terminal
    Router1(config)# ip access-list extended ICMP-ALLOW
    Router1(config-ext-nacl)# permit icmp any Router4
    Router1(config-ext-nacl)# exit
    Router1(config)# ip access-list extended ICMP-DENY
    Router1(config-ext-nacl)# deny icmp any any
    Router1(config-ext-nacl)# exit
    Router1(config)# ip access-group ICMP-"
Permit SNMP traps from Router3 to Management Network,"    ```cisco
    Router3# configure terminal
    Router3(config)# snmp-server enable traps
    Router3(config)# snmp-server host 10.1.1.0 161
    Router3(config)# snmp-server trap-source Loopback0
    Router3(config)# snmp-server trap-group 10.1.1.0
    Router3(config)# exit
    ```"
Deny Telnet traffic from WAN to LAN on Router4,"
    ```
    Router4(config)# access-list 101 deny tcp any any eq 23
    Router4(config)# interface FastEthernet0/0
    Router4(config-if)# ip access-group 101 in
    ```"
Allow SSH traffic from WAN to Router3,"    ```
    Router3# configure terminal
    Router3(config)# ip ssh source-interface WAN
    Router3(config)# exit

    Router4# configure terminal
    Router4(config)# ip ssh source-interface WAN
    Router4(config)# exit

    Router1# configure terminal
    Router1(config)# ip ssh source-interface LAN
    Router1(config)# exit

    Router2# configure terminal
    Router2(config)# ip ssh"
Permit HTTP traffic from Router2 to Router1,"    ```
    Router1# configure terminal
    Router1(config)# ip access-list extended HTTP_ALLOW
    Router1(config-ext-nacl)# permit tcp any any eq 80
    Router1(config-ext-nacl)# exit
    Router1(config)# interface fastethernet 0/1
    Router1(config-if)# ip address 192.168.1.1 255.255.255.0
    Router1(config-if)# exit
    Router1"
Deny ICMP traffic from Router4 to Router2,"
    ~~~Router4~~~~
    access-list 101 deny icmp any any
    ~~~Router2~~~~
    access-list 101 permit icmp any any"
Allow FTP traffic from LAN to WAN on Router2,"    ```
    Router2# configure terminal
    Router2(config)# ip access-list extended FTP_ALLOW
    Router2(config-ext-nacl)# permit tcp any 192.168.1.0 0.0.0.255 eq 21
    Router2(config-ext-nacl)# permit tcp any 10.0.0.0 0.0.0.255 eq 21
    Router2(config-ext-nacl)# deny ip any any"
Permit ICMP traffic from WAN to LAN on Router1,"    ```
    Router1# configure terminal
    Router1(config)# ip access-list standard WAN_to_LAN
    Router1(config-std-acl)# permit icmp any any
    Router1(config-std-acl)# exit
    Router1(config)# interface FastEthernet0/0
    Router1(config-if)# ip access-group WAN_to_LAN in
    Router1(config-if)# exit
    ```"
Deny DNS traffic from Router1 LAN to Router2 LAN,"
   ```cisco
    ~~~Router1~~~~
    ip access-list extended DENY_DNS
      deny udp any any eq domain
    !
    interface fastethernet 0/0
      ip address 192.168.1.1 255.255.255.0
      ip access-group DENY_DNS in
    !
    ~~~Router2~~~~
    ip access-list extended DENY_DNS
      deny udp any any eq domain
    !
    interface fastethernet 0/0
      ip address"
Allow SMTP traffic from LAN to WAN on Router4,"    ```
    Router4# configure terminal
    Router4(config)# interface FastEthernet0/0
    Router4(config-if)# ip address 192.168.1.1 255.255.255.0
    Router4(config-if)# ip access-list extended ALLOW_SMTP
    Router4(config-if-acl)# permit tcp any any eq 25
    Router4(config-if-acl)# exit
    Router4(config-if)# ip access-group ALLOW_SM"
Permit SSH traffic from Management Network to all routers,"    ```
    Router(config)# ip ssh management-network
    Router(config)# ip ssh permit-from management-network
    Router(config)# ip ssh permit-to all
    ```"
