entry,requirement,ground_truth
025,Set the hostname of SW1 to Access-SW1.,"SW1# configure terminal
SW1(config)# hostname Access-SW1
SW1(config)# end"
026,Configure an enable secret password on R3.,"R3# configure terminal
R3(config)# enable secret cisco123
R3(config)# end"
027,Configure a console password on R4.,"R4# configure terminal
R4(config)# line console 0
R4(config-line)# password cisco123
R4(config-line)# login
R4(config-line)# end"
028,Configure a VTY password on R2 for remote access.,"R2# configure terminal
R2(config)# line vty 0 4
R2(config-line)# password cisco123
R2(config-line)# login
R2(config-line)# end"
029,Enable SSH version 2 on R1.,"R1# configure terminal
R1(config)# ip domain-name lab.local
R1(config)# crypto key generate rsa modulus 1024
R1(config)# ip ssh version 2
R1(config)# end"
030,Configure the loopback interface 0 on R1 with IP address 1.1.1.1/32.,"R1# configure terminal
R1(config)# interface loopback 0
R1(config-if)# ip address 1.1.1.1 255.255.255.255
R1(config-if)# end"
031,Configure the loopback interface 0 on R2 with IP address 2.2.2.2/32.,"R2# configure terminal
R2(config)# interface loopback 0
R2(config-if)# ip address 2.2.2.2 255.255.255.255
R2(config-if)# end"
032,Configure the loopback interface 0 on R3 with IP address 3.3.3.3/32.,"R3# configure terminal
R3(config)# interface loopback 0
R3(config-if)# ip address 3.3.3.3 255.255.255.255
R3(config-if)# end"
033,Configure the loopback interface 0 on R4 with IP address 4.4.4.4/32.,"R4# configure terminal
R4(config)# interface loopback 0
R4(config-if)# ip address 4.4.4.4 255.255.255.255
R4(config-if)# end"
034,Enable OSPF process 1 on R1 and advertise all its directly connected networks in area 0.,"R1# configure terminal
R1(config)# router ospf 1
R1(config-router)# network 10.0.1.0 0.0.0.255 area 0
R1(config-router)# network 10.0.12.0 0.0.0.255 area 0
R1(config-router)# network 10.0.14.0 0.0.0.255 area 0
R1(config-router)# end"
035,Enable OSPF process 1 on R3 and advertise all its directly connected networks in area 0.,"R3# configure terminal
R3(config)# router ospf 1
R3(config-router)# network 10.0.23.0 0.0.0.255 area 0
R3(config-router)# network 10.0.34.0 0.0.0.255 area 0
R3(config-router)# network 10.0.2.0 0.0.0.255 area 0
R3(config-router)# end"
036,Enable OSPF process 1 on R4 and advertise all its directly connected networks in area 0.,"R4# configure terminal
R4(config)# router ospf 1
R4(config-router)# network 10.0.14.0 0.0.0.255 area 0
R4(config-router)# network 10.0.24.0 0.0.0.255 area 0
R4(config-router)# network 10.0.34.0 0.0.0.255 area 0
R4(config-router)# end"
037,Set the OSPF router ID on R1 to 1.1.1.1.,"R1# configure terminal
R1(config)# router ospf 1
R1(config-router)# router-id 1.1.1.1
R1(config-router)# end"
038,Set the OSPF router ID on R2 to 2.2.2.2.,"R2# configure terminal
R2(config)# router ospf 1
R2(config-router)# router-id 2.2.2.2
R2(config-router)# end"
039,Configure the OSPF hello interval to 5 seconds on R1's interface that connects to R2.,"R1# configure terminal
R1(config)# interface Ethernet0/1
R1(config-if)# ip ospf hello-interval 5
R1(config-if)# end"
040,Configure the OSPF dead interval to 20 seconds on R2's interface that connects to R1.,"R2# configure terminal
R2(config)# interface Ethernet0/0
R2(config-if)# ip ospf dead-interval 20
R2(config-if)# end"
041,Set the OSPF cost to 100 on R3's interface that connects to R4.,"R3# configure terminal
R3(config)# interface Ethernet0/1
R3(config-if)# ip ospf cost 100
R3(config-if)# end"
042,Configure a standard ACL on R1 to permit traffic only from the 10.0.1.0/24 network.,"R1# configure terminal
R1(config)# ip access-list standard PERMIT_LAN1
R1(config-std-nacl)# permit 10.0.1.0 0.0.0.255
R1(config-std-nacl)# deny any
R1(config-std-nacl)# end"
043,Configure an extended ACL on R2 to permit TCP traffic from 10.0.12.0/24 to 10.0.23.0/24 on port 80.,"R2# configure terminal
R2(config)# ip access-list extended PERMIT_HTTP
R2(config-ext-nacl)# permit tcp 10.0.12.0 0.0.0.255 10.0.23.0 0.0.0.255 eq 80
R2(config-ext-nacl)# end"
044,Apply the ACL PERMIT_LAN1 inbound on R1's interface connected to SW1.,"R1# configure terminal
R1(config)# interface Ethernet0/0
R1(config-if)# ip access-group PERMIT_LAN1 in
R1(config-if)# end"
045,Configure an extended ACL on R3 to deny ICMP traffic from any source to 10.0.2.0/24.,"R3# configure terminal
R3(config)# ip access-list extended DENY_ICMP
R3(config-ext-nacl)# deny icmp any 10.0.2.0 0.0.0.255
R3(config-ext-nacl)# permit ip any any
R3(config-ext-nacl)# end"
046,Configure NTP server 10.0.12.2 on R1.,"R1# configure terminal
R1(config)# ntp server 10.0.12.2
R1(config)# end"
047,Configure the clock timezone to UTC on R2.,"R2# configure terminal
R2(config)# clock timezone UTC 0
R2(config)# end"
048,Enable CDP on R1's interface that connects to R2.,"R1# configure terminal
R1(config)# interface Ethernet0/1
R1(config-if)# cdp enable
R1(config-if)# end"
049,Disable CDP globally on R4.,"R4# configure terminal
R4(config)# no cdp run
R4(config)# end"
050,Configure SNMP community string 'public' read-only on R2.,"R2# configure terminal
R2(config)# snmp-server community public ro
R2(config)# end"
051,Set the MTU to 1400 on R1's interface that connects to R4.,"R1# configure terminal
R1(config)# interface Ethernet0/2
R1(config-if)# ip mtu 1400
R1(config-if)# end"
052,Enable IP routing on SW1.,"SW1# configure terminal
SW1(config)# ip routing
SW1(config)# end"
053,Disable IP routing on SW2.,"SW2# configure terminal
SW2(config)# no ip routing
SW2(config)# end"
054,Configure Spanning Tree Protocol mode PVST on SW1.,"SW1# configure terminal
SW1(config)# spanning-tree mode pvst
SW1(config)# end"
055,Configure Spanning Tree Protocol mode rapid-PVST on SW2.,"SW2# configure terminal
SW2(config)# spanning-tree mode rapid-pvst
SW2(config)# end"
056,Set SW1 as the STP root bridge for VLAN 10.,"SW1# configure terminal
SW1(config)# spanning-tree vlan 10 root primary
SW1(config)# end"
057,Set SW2 as the STP root bridge for VLAN 30.,"SW2# configure terminal
SW2(config)# spanning-tree vlan 30 root primary
SW2(config)# end"
058,Configure PortFast on SW1's port connected to h1.,"SW1# configure terminal
SW1(config)# interface Fa0/1
SW1(config-if)# spanning-tree portfast
SW1(config-if)# end"
059,Configure PortFast on SW2's port connected to h2.,"SW2# configure terminal
SW2(config)# interface Fa0/1
SW2(config-if)# spanning-tree portfast
SW2(config-if)# end"
060,Enable BPDU Guard on SW1's port connected to h1.,"SW1# configure terminal
SW1(config)# interface Fa0/1
SW1(config-if)# spanning-tree bpduguard enable
SW1(config-if)# end"
061,Enable BPDU Guard on SW2's port connected to h2.,"SW2# configure terminal
SW2(config)# interface Fa0/1
SW2(config-if)# spanning-tree bpduguard enable
SW2(config-if)# end"
062,Configure a DHCP pool on R1 for the 10.0.1.0/24 network.,"R1# configure terminal
R1(config)# ip dhcp pool LAN1
R1(dhcp-config)# network 10.0.1.0 255.255.255.0
R1(dhcp-config)# default-router 10.0.1.1
R1(dhcp-config)# end"
063,Exclude the first 10 addresses of the 10.0.1.0/24 network from the DHCP pool on R1.,"R1# configure terminal
R1(config)# ip dhcp excluded-address 10.0.1.1 10.0.1.10
R1(config)# end"
064,Configure a DHCP pool on R3 for the 10.0.2.0/24 network.,"R3# configure terminal
R3(config)# ip dhcp pool LAN2
R3(dhcp-config)# network 10.0.2.0 255.255.255.0
R3(dhcp-config)# default-router 10.0.2.1
R3(dhcp-config)# end"
065,Disable DHCP service on R2.,"R2# configure terminal
R2(config)# no service dhcp
R2(config)# end"
066,Configure a static ARP entry on R1 for host 10.0.1.10 with MAC address 0050.7966.6800.,"R1# configure terminal
R1(config)# arp 10.0.1.10 0050.7966.6800 arpa
R1(config)# end"
067,Set the ARP timeout to 300 seconds on R2's interface that connects to R1.,"R2# configure terminal
R2(config)# interface Ethernet0/0
R2(config-if)# arp timeout 300
R2(config-if)# end"
068,Configure NAT inside on R1's interface connected to SW1.,"R1# configure terminal
R1(config)# interface Ethernet0/0
R1(config-if)# ip nat inside
R1(config-if)# end"
069,Configure NAT outside on R1's interface connected to R2.,"R1# configure terminal
R1(config)# interface Ethernet0/1
R1(config-if)# ip nat outside
R1(config-if)# end"
070,Configure a static NAT entry on R1 translating 10.0.1.10 to 10.0.12.10.,"R1# configure terminal
R1(config)# ip nat inside source static 10.0.1.10 10.0.12.10
R1(config)# end"
071,Enable logging on R3 to syslog server 10.0.23.1.,"R3# configure terminal
R3(config)# logging 10.0.23.1
R3(config)# end"
072,Set the logging level to warnings on R4.,"R4# configure terminal
R4(config)# logging trap warnings
R4(config)# end"
073,Configure the interface description on R4's interface connecting to R3.,"R4# configure terminal
R4(config)# interface Ethernet0/2
R4(config-if)# description Link to R3
R4(config-if)# end"
074,Shutdown all interfaces on R2 except the one connecting to R1.,"R2# configure terminal
R2(config)# interface Ethernet0/1
R2(config-if)# shutdown
R2(config-if)# interface Ethernet0/2
R2(config-if)# shutdown
R2(config-if)# end"
075,Configure the trunk port on SW1 to allow only VLAN 10 and VLAN 20.,"SW1# configure terminal
SW1(config)# interface Fa0/24
SW1(config-if)# switchport trunk allowed vlan 10,20
SW1(config-if)# end"
076,Configure the trunk port on SW2 to allow only VLAN 30 and VLAN 40.,"SW2# configure terminal
SW2(config)# interface Fa0/24
SW2(config-if)# switchport trunk allowed vlan 30,40
SW2(config-if)# end"
077,Set the native VLAN to 10 on SW1's trunk port.,"SW1# configure terminal
SW1(config)# interface Fa0/24
SW1(config-if)# switchport trunk native vlan 10
SW1(config-if)# end"
078,Set the native VLAN to 30 on SW2's trunk port.,"SW2# configure terminal
SW2(config)# interface Fa0/24
SW2(config-if)# switchport trunk native vlan 30
SW2(config-if)# end"
079,Configure a VLAN interface (SVI) on SW1 for VLAN 10 with IP address 10.0.1.2/24.,"SW1# configure terminal
SW1(config)# interface vlan 10
SW1(config-if)# ip address 10.0.1.2 255.255.255.0
SW1(config-if)# no shutdown
SW1(config-if)# end"
080,Configure a VLAN interface (SVI) on SW2 for VLAN 30 with IP address 10.0.2.2/24.,"SW2# configure terminal
SW2(config)# interface vlan 30
SW2(config-if)# ip address 10.0.2.2 255.255.255.0
SW2(config-if)# no shutdown
SW2(config-if)# end"
081,Disable proxy ARP on R1's interface connected to SW1.,"R1# configure terminal
R1(config)# interface Ethernet0/0
R1(config-if)# no ip proxy-arp
R1(config-if)# end"
082,Configure an extended ACL on R4 to permit UDP traffic from 10.0.14.0/24 to any destination on port 53.,"R4# configure terminal
R4(config)# ip access-list extended PERMIT_DNS
R4(config-ext-nacl)# permit udp 10.0.14.0 0.0.0.255 any eq 53
R4(config-ext-nacl)# end"
083,Apply the ACL PERMIT_DNS outbound on R4's interface connected to R1.,"R4# configure terminal
R4(config)# interface Ethernet0/0
R4(config-if)# ip access-group PERMIT_DNS out
R4(config-if)# end"
084,Set the bandwidth on R4's interface connecting to R3 to 2000 Kbps.,"R4# configure terminal
R4(config)# interface Ethernet0/2
R4(config-if)# bandwidth 2000
R4(config-if)# end"
085,Configure the IP address on R2's interface connecting to R4.,"R2# configure terminal
R2(config)# interface Ethernet0/2
R2(config-if)# ip address 10.0.24.1 255.255.255.0
R2(config-if)# no shutdown
R2(config-if)# end"
086,Configure the IP address on R4's interface connecting to R2.,"R4# configure terminal
R4(config)# interface Ethernet0/1
R4(config-if)# ip address 10.0.24.2 255.255.255.0
R4(config-if)# no shutdown
R4(config-if)# end"
087,Configure the IP address on R3's interface connecting to R4.,"R3# configure terminal
R3(config)# interface Ethernet0/1
R3(config-if)# ip address 10.0.34.1 255.255.255.0
R3(config-if)# no shutdown
R3(config-if)# end"
088,Enable OSPF process 1 on R1 and set the interface connecting to R2 as passive.,"R1# configure terminal
R1(config)# router ospf 1
R1(config-router)# passive-interface Ethernet0/1
R1(config-router)# end"
089,Configure OSPF authentication on R2's interface connecting to R3 using password ospfpass.,"R2# configure terminal
R2(config)# interface Ethernet0/1
R2(config-if)# ip ospf authentication
R2(config-if)# ip ospf authentication-key ospfpass
R2(config-if)# end"
090,Remove the static route to 10.0.2.0/24 via R2 on R1.,"R1# configure terminal
R1(config)# no ip route 10.0.2.0 255.255.255.0 10.0.12.2
R1(config)# end"
091,Configure port security on SW1's port connected to h1 to allow only 1 MAC address.,"SW1# configure terminal
SW1(config)# interface Fa0/1
SW1(config-if)# switchport port-security
SW1(config-if)# switchport port-security maximum 1
SW1(config-if)# switchport port-security violation shutdown
SW1(config-if)# end"
092,Configure port security on SW2's port connected to h2 to allow only 1 MAC address.,"SW2# configure terminal
SW2(config)# interface Fa0/1
SW2(config-if)# switchport port-security
SW2(config-if)# switchport port-security maximum 1
SW2(config-if)# switchport port-security violation shutdown
SW2(config-if)# end"
093,Enable storm control for broadcasts on SW1's port connected to h1 at 20% threshold.,"SW1# configure terminal
SW1(config)# interface Fa0/1
SW1(config-if)# storm-control broadcast level 20
SW1(config-if)# end"
094,Enable storm control for broadcasts on SW2's port connected to h2 at 20% threshold.,"SW2# configure terminal
SW2(config)# interface Fa0/1
SW2(config-if)# storm-control broadcast level 20
SW2(config-if)# end"
095,Save the running configuration to startup configuration on R1.,R1# copy running-config startup-config
096,Save the running configuration to startup configuration on SW1.,SW1# copy running-config startup-config
097,Display the routing table on R3.,R3# show ip route
098,Display the OSPF neighbors on R2.,R2# show ip ospf neighbor
099,Display the MAC address table on SW1.,SW1# show mac address-table
100,Display the spanning tree status for VLAN 10 on SW1.,SW1# show spanning-tree vlan 10
