requirement,model_answer,completion_action,model_answer_completed,model_raw_output
Decrease the bandwidth of Router2's LAN interface to limit traffic,"    ```
    Router2# configure terminal
    Router2(config)# interface fastethernet 0/1
    Router2(config-if)# bandwidth 10000
    Router2(config-if)# exit
    ```",COMPLETED,"Router2# configure terminal
Router2(config)# interface fastethernet 0/1
Router2(config-if)# bandwidth 10000
Router2(config-if)# exit","{
  ""action"": ""COMPLETED"",
  ""completed_answer"": ""Router2# configure terminal\nRouter2(config)# interface fastethernet 0/1\nRouter2(config-if)# bandwidth 10000\nRouter2(config-if)# exit""
}"
Add a new VLAN to Router3's LAN interface for network segmentation,"    ```
    Router3# configure terminal
    Router",COMPLETED,"Router3# configure terminal
Router3(config)# vlan 10
Router3(config-vlan)# exit
Router3(config)# interface Ethernet0/2
Router3(config-if)# ip address 192.168.10.1 255.255.255.0
Router3(config-if)# no shutdown
Router3(config-if)# exit","{
  ""action"": ""COMPLETED"",
  ""completed_answer"": ""Router3# configure terminal\nRouter3(config)# vlan 10\nRouter3(config-vlan)# exit\nRouter3(config)# interface Ethernet0/2\nRouter3(config-if)# ip address 192.168.10.1 255.255.255.0\nRouter3(config-if)# no shutdown\nRouter3(config-if)# exit""
}"
Remove VLAN from Router4's LAN interface for simplification,"    ```
    Router4# configure terminal
    Router4(config)# interface FastEthernet0/0
    Router4(config-if)# no switchport mode trunk
    Router4(config-if)# no switchport trunk allowed vlan 10
    Router4(config-if)# no switchport trunk native vlan 10
    Router4(config-if)# no switchport trunk native vlan 20
    Router4(config-if)# no switchport trunk native vlan 30
    Router4(config-if)# no switch",COMPLETED,"Router4# configure terminal
Router4(config)# interface Ethernet0/0
Router4(config-if)# no switchport mode trunk
Router4(config-if)# no switchport trunk allowed vlan 10
Router4(config-if)# no switchport trunk native vlan 10
Router4(config-if)# no switchport trunk native vlan 20
Router4(config-if)# no switchport trunk native vlan 30","{
  ""action"": ""COMPLETED"",
  ""completed_answer"": ""Router4# configure terminal\nRouter4(config)# interface Ethernet0/0\nRouter4(config-if)# no switchport mode trunk\nRouter4(config-if)# no switchport trunk allowed vlan 10\nRouter4(config-if)# no switchport trunk native vlan 10\nRouter4(config-if)# no switchport trunk native vlan 20\nRouter4(config-if)# no switchport trunk native vlan 30""
}"
Configure Router1 to Router2 link to use a different encapsulation method,"    ```
    Router1# configure terminal
    Router1(config)# interface serial 0/0
    Router1(config-if)# encapsulation aal5snap
    Router1(config-if)# exit
    Router1(config)#
   
    Router2# configure terminal
    Router2(config)# interface serial 0/0
    Router2(config-if)# encapsulation aal5snap
    Router2(config-if)# exit
    Router2(config)#
    ```   ",COMPLETED,"Router1# configure terminal
Router1(config)# interface serial 0/0
Router1(config-if)# encapsulation frame-relay
Router1(config-if)# exit
Router1(config)#

Router2# configure terminal
Router2(config)# interface serial 0/0
Router2(config-if)# encapsulation frame-relay
Router2(config-if)# exit
Router2(config)#","{
  ""action"": ""COMPLETED"",
  ""completed_answer"": ""    \nRouter1# configure terminal\nRouter1(config)# interface serial 0/0\nRouter1(config-if)# encapsulation frame-relay\nRouter1(config-if)# exit\nRouter1(config)#\n\nRouter2# configure terminal\nRouter2(config)# interface serial 0/0\nRouter2(config-if)# encapsulation frame-relay\nRouter2(config-if)# exit\nRouter2(config)#""
}"
Implement Quality of Service (QoS) policies on Router2 for VoIP traffic,"    ```
    Router2# configure terminal
    Router2(config)# policy-map voip-qos
    Router2(config-pmap)# class voip
    Router2(config-pmap-c)# priority 1
    Router2(config-pmap-c)# bandwidth 1000
    Router2(config-pmap-c)# exit
    Router2(config-pmap)# exit
    Router2(config)# interface Fast",COMPLETED,"Router2# configure terminal
Router2(config)# policy-map voip-qos
Router2(config-pmap)# class voip
Router2(config-pmap-c)# priority 1
Router2(config-pmap-c)# bandwidth 1000
Router2(config-pmap-c)# exit
Router2(config-pmap)# exit
Router2(config)# interface Ethernet0/0
Router2(config-if)# service-policy output voip-qos
Router2(config-if)# exit","{
  ""action"": ""COMPLETED"",
  ""completed_answer"": ""Router2# configure terminal\nRouter2(config)# policy-map voip-qos\nRouter2(config-pmap)# class voip\nRouter2(config-pmap-c)# priority 1\nRouter2(config-pmap-c)# bandwidth 1000\nRouter2(config-pmap-c)# exit\nRouter2(config-pmap)# exit\nRouter2(config)# interface Ethernet0/0\nRouter2(config-if)# service-policy output voip-qos\nRouter2(config-if)# exit""
}"
Increase the MTU size on Router3's WAN interface to support jumbo frames,"    ```
    Router3# configure terminal
    Router3(config)# interface fastethernet 0/0
    Router3(config-if)# mtu 9000
    Router3(config-if)# exit
    Router3(config)#
    ```",COMPLETED,"Router3# configure terminal
Router3(config)# interface Ethernet0/0
Router3(config-if)# mtu 9000
Router3(config-if)# exit
Router3(config)##","{
  ""action"": ""COMPLETED"",
  ""completed_answer"": ""Router3# configure terminal\nRouter3(config)# interface Ethernet0/0\nRouter3(config-if)# mtu 9000\nRouter3(config-if)# exit\nRouter3(config)##""
}"
Configure Router4 to use a different routing protocol for WAN connectivity,"    ~~~Router4~~~~
    router bgp 65535
    neighbor 10.1.1.1 remote-as 65535
    neighbor 10.1.1.1 update-source Loopback0
    neighbor 10.1.1.1 next-hop-self",COMPLETED,"~~~Router4~~~~
    router ospf 1
    network 10.0.0.0 0.255.255.255 area 0
    router rip
    version 2
    redistribute ospf 1 metric 1
    interface Ethernet0/0
    ip address 10.0.14.2 255.255.255.0
    no shutdown
    interface Ethernet0/1
    ip address 10.0.24.2 255.255.255.0
    no shutdown
    interface Ethernet0/2
    ip address 10.0.34.2 255.255.255.0
    no shutdown","{
  ""action"": ""COMPLETED"",
  ""completed_answer"": ""    ~~~Router4~~~~\n    router ospf 1\n    network 10.0.0.0 0.255.255.255 area 0\n    router rip\n    version 2\n    redistribute ospf 1 metric 1\n    interface Ethernet0/0\n    ip address 10.0.14.2 255.255.255.0\n    no shutdown\n    interface Ethernet0/1\n    ip address 10.0.24.2 255.255.255.0\n    no shutdown\n    interface Ethernet0/2\n    ip address 10.0.34.2 255.255.255.0\n    no shutdown""
}"
Implement Port Address Translation (PAT) on Router1 for outbound internet access,"    ```
    Router1# configure terminal
    Router1(config)# ip nat inside
    Router1(config)# ip nat outside
    Router1(config)# interface FastEthernet0/0
    Router1(config-if)# ip address 192.168.1.1 255.255.255.0
    Router1(config-if)# no shutdown
    Router1(config-if)# exit
    Router1(config)# ip nat pool 10.0.0.1 ",COMPLETED,"Router1# configure terminal
Router1(config)# ip nat inside source list 1 pool 10.0.14.1-10.0.14.10 overload
Router1(config)# access-list 1 permit 10.0.1.0 0.0.0.255
Router1(config)# interface Ethernet0/0
Router1(config-if)# ip nat inside
Router1(config-if)# exit
Router1(config)# interface Ethernet0/1
Router1(config-if)# ip nat outside
Router1(config-if)# exit
Router1(config)# interface Ethernet0/2
Router1(config-if)# ip nat outside
Router1(config-if)# exit
Router1(config)# ip nat pool 10.0.14.1-10.0.14.10 10.0.14.1 10.0.14.10 prefix-length 24","{
  ""action"": ""COMPLETED"",
  ""completed_answer"": ""Router1# configure terminal\nRouter1(config)# ip nat inside source list 1 pool 10.0.14.1-10.0.14.10 overload\nRouter1(config)# access-list 1 permit 10.0.1.0 0.0.0.255\nRouter1(config)# interface Ethernet0/0\nRouter1(config-if)# ip nat inside\nRouter1(config-if)# exit\nRouter1(config)# interface Ethernet0/1\nRouter1(config-if)# ip nat outside\nRouter1(config-if)# exit\nRouter1(config)# interface Ethernet0/2\nRouter1(config-if)# ip nat outside\nRouter1(config-if)# exit\nRouter1(config)# ip nat pool 10.0.14.1-10.0.14.10 10.0.14.1 10.0.14.10 prefix-length 24""
}"
Implement Dynamic NAT on Router3 for LAN to WAN communication,"    ~~~Router3~~~~
    ip nat pool R3_NAT_POOL 192.168.1.100 192.168.1.150 netmask 255.255.255.0
    ip nat inside source list R3_INSIDE_LIST pool R3_NAT_POOL",COMPLETED,"~Router3~

ip nat pool R3_NAT_POOL 192.168.1.100 192.168.1.150 netmask 255.255.255.0
ip nat inside source list R3_INSIDE_LIST pool R3_NAT_POOL
access-list R3_INSIDE_LIST permit ip 10.0.2.0 0.0.0.255 any
interface Ethernet0/2
 ip nat inside
!
interface Ethernet0/0
 ip nat outside
!","{
  ""action"": ""COMPLETED"",
  ""completed_answer"": ""~Router3~\n\nip nat pool R3_NAT_POOL 192.168.1.100 192.168.1.150 netmask 255.255.255.0\nip nat inside source list R3_INSIDE_LIST pool R3_NAT_POOL\naccess-list R3_INSIDE_LIST permit ip 10.0.2.0 0.0.0.255 any\ninterface Ethernet0/2\n ip nat inside\n!\ninterface Ethernet0/0\n ip nat outside\n!""
}"
Configure Router2 to act as a DHCP server for its LAN network,"    ```
    Router2(config)# ip dhcp pool LAN
    Router2(dhcp-config)",COMPLETED,"Router2(config)# ip dhcp pool LAN
Router2(dhcp-config)# network 10.0.2.0 255.255.255.0
Router2(dhcp-config)# default-router 10.0.2.1
Router2(dhcp-config)# exit","{
  ""action"": ""COMPLETED"",
  ""completed_answer"": ""Router2(config)# ip dhcp pool LAN\nRouter2(dhcp-config)# network 10.0.2.0 255.255.255.0\nRouter2(dhcp-config)# default-router 10.0.2.1\nRouter2(dhcp-config)# exit""
}"
Disable IPv6 routing on Router4,"    ```
    Router4# configure terminal
    Router4(config)# no ipv6 routing
    Router4(config)# ip route 192.168.1.0/24 10.1.1.1
    ```",COMPLETED,"Router4# configure terminal
Router4(config)# no ipv6 routing
Router4(config)# ip route 192.168.1.0/24 10.1.1.1","{
  ""action"": ""COMPLETED"",
  ""completed_answer"": ""Router4# configure terminal\nRouter4(config)# no ipv6 routing\nRouter4(config)# ip route 192.168.1.0/24 10.1.1.1\n""
}"
Implement IPv6 addressing on Router1's WAN interface,"    ```
    Router1# configure terminal
    Router1(config)# interface fastethernet 0/0
    Router1(config-if)# ipv6 address 2001:DB8:123",COMPLETED,"Router1# configure terminal
Router1(config)# interface fastethernet 0/0
Router1(config-if)# ipv6 address 2001:DB8:123:1::1/64","{
  ""action"": ""COMPLETED"",
  ""completed_answer"": ""Router1# configure terminal\nRouter1(config)# interface fastethernet 0/0\nRouter1(config-if)# ipv6 address 2001:DB8:123:1::1/64""
}"
Change the administrative distance of OSPF on Router2 to prioritize routes,"    ```
    Router2# configure terminal
    Router2(config)# router ospf 1
    Router2(config-router)# distance 110
    ```",COMPLETED,"Router2# configure terminal
Router2(config)# router ospf 1
Router2(config-router)# distance 110","{
  ""action"": ""COMPLETED"",
  ""completed_answer"": ""Router2# configure terminal\nRouter2(config)# router ospf 1\nRouter2(config-router)# distance 110\n""
}"
Configure Router3 to advertise specific routes via OSPF,"    ~~~Router3~~~~
    router ospfv3 1
     area 0.0.0.0
     network 10.1.1.0/24 area 0
     network 10.2.2.0/24 area 0
     cost 10
     metric 100
",NO_CODE,NO_CODE,"{
  ""action"": ""NO_CODE"",
  ""completed_answer"": ""NO_CODE""
}"
Implement IPsec VPN between Router1 and Router4 for secure communication,"    ~~~Router1~~~~
    crypto isakmp policy 10
      authentication pre-share
      encryption aes
      group 2
      lifetime 3600
    crypto ipsec transform-set TS1 esp-aes esp-sha-hmac
    crypto map R1_VPN 10 ipsec-isakmp set transform-set TS1
    crypto map R1_VPN 10 match address 100
    crypto map R1_VPN 10 set pfs group2
    crypto map R1_VPN 10 set peer Router4",COMPLETED,"crypto isakmp policy 10
  authentication pre-share
  encryption aes
  group 2
  lifetime 3600
!
crypto ipsec transform-set TS1 esp-aes esp-sha-hmac
!
crypto map R1_VPN 10 ipsec-isakmp set transform-set TS1
crypto map R1_VPN 10 match address 100
crypto map R1_VPN 10 set pfs group2
crypto map R1_VPN 10 set peer 10.0.14.2
!
interface Ethernet0/2
 ip address 10.0.14.1 255.255.255.0
 crypto map R1_VPN
!","{
  ""action"": ""COMPLETED"",
  ""completed_answer"": ""crypto isakmp policy 10\n  authentication pre-share\n  encryption aes\n  group 2\n  lifetime 3600\n!\ncrypto ipsec transform-set TS1 esp-aes esp-sha-hmac\n!\ncrypto map R1_VPN 10 ipsec-isakmp set transform-set TS1\ncrypto map R1_VPN 10 match address 100\ncrypto map R1_VPN 10 set pfs group2\ncrypto map R1_VPN 10 set peer 10.0.14.2\n!\ninterface Ethernet0/2\n ip address 10.0.14.1 255.255.255.0\n crypto map R1_VPN\n!""
}"
Enable SNMP on all routers for network monitoring,"
    ~~~router1~~~~
    snmp-server enable traps
    snmp-server host 192.168.1.100 version 2c
    snmp-server community public
    ```
    ```
    ~~~router2~~~~
    snmp-server enable traps
    snmp-server host 192.168.1.100 version 2c
    snmp-server community public
    ```
    ```
    ~~~router3~~~~
    snmp-server enable traps
    snmp-server host 192.168",COMPLETED,"~~~router1~~~~
snmp-server enable traps
snmp-server host 192.168.1.100 version 2c
snmp-server community public
~~~router2~~~~
snmp-server enable traps
snmp-server host 192.168.1.100 version 2c
snmp-server community public
~~~router3~~~~
snmp-server enable traps
snmp-server host 192.168.1.100 version 2c
snmp-server community public
~~~router4~~~~
snmp-server enable traps
snmp-server host 192.168.1.100 version 2c
snmp-server community public","{
  ""action"": ""COMPLETED"",
  ""completed_answer"": ""~~~router1~~~~\nsnmp-server enable traps\nsnmp-server host 192.168.1.100 version 2c\nsnmp-server community public\n```\n```\n~~~router2~~~~\nsnmp-server enable traps\nsnmp-server host 192.168.1.100 version 2c\nsnmp-server community public\n```\n```\n~~~router3~~~~\nsnmp-server enable traps\nsnmp-server host 192.168.1.100 version 2c\nsnmp-server community public\n```\n```\n~~~router4~~~~\nsnmp-server enable traps\nsnmp-server host 192.168.1.100 version 2c\nsnmp-server community public\n```""
}"
Configure Router2 to authenticate users connecting through Telnet,"    ```
    Router2# configure terminal
    Router2(config)# aaa authentication login default group radius
    Router2(config)# aaa accounting network start-stop group radius
    Router2(config)# username admin password password
    ```",COMPLETED,"Router2# configure terminal
Router2(config)# aaa authentication login default group radius
Router2(config)# aaa accounting network start-stop group radius
Router2(config)# username admin password password
Router2(config)# line vty 0 4
Router2(config-line)# login local","{
  ""action"": ""COMPLETED"",
  ""completed_answer"": ""Router2# configure terminal\nRouter2(config)# aaa authentication login default group radius\nRouter2(config)# aaa accounting network start-stop group radius\nRouter2(config)# username admin password password\nRouter2(config)# line vty 0 4\nRouter2(config-line)# login local""
}"
Implement SSH on Router3 for secure remote management,"
    Router3# configure terminal
    Router3(config)# crypto key generate rsa modulus 2048
    Router3(config)# ip ssh version 2
    Router3(config)# line vty 0 4
    Router3(config-line)# login local
    Router3(config-line)# transport input ssh
    Router3(config-line)# exec-timeout 0 0
    Router3(config-line)# no exec-timeout 0 0
    Router3(config-line)# exit
    Router3(",COMPLETED,"Router3# configure terminal
Router3(config)# crypto key generate rsa modulus 2048
Router3(config)# ip ssh version 2
Router3(config)# line vty 0 4
Router3(config-line)# login local
Router3(config-line)# transport input ssh
Router3(config-line)# exec-timeout 0 0
Router3(config-line)# exit","{
  ""action"": ""COMPLETED"",
  ""completed_answer"": ""Router3# configure terminal\nRouter3(config)# crypto key generate rsa modulus 2048\nRouter3(config)# ip ssh version 2\nRouter3(config)# line vty 0 4\nRouter3(config-line)# login local\nRouter3(config-line)# transport input ssh\nRouter3(config-line)# exec-timeout 0 0\nRouter3(config-line)# exit""
}"
Configure Router4 to use a different DNS server for name resolution,"   ```
    Router4(config)# ip name-server 192.0.2.10
    ```",COMPLETED,Router4(config)# ip name-server 192.0.2.10,"{
  ""action"": ""COMPLETED"",
  ""completed_answer"": ""Router4(config)# ip name-server 192.0.2.10""
}"
Implement Access Control Lists (ACLs) on Router1 to filter inbound traffic,"    ~~~Router1~~~~
    access-list 101 permit ip 192.168.1.0 0.0.0.255 any
    access-list 101 deny ip any any
    interface fastethernet 0/0
    ip address 192",COMPLETED,"~~~Router1~~~~
access-list 101 permit ip 192.168.1.0 0.0.0.255 any
access-list 101 deny ip any any
interface fastethernet 0/0
ip address 10.0.1.1 255.255.255.0
ip access-group 101 in
no shutdown","{
  ""action"": ""COMPLETED"",
  ""completed_answer"": ""~~~Router1~~~~\naccess-list 101 permit ip 192.168.1.0 0.0.0.255 any\naccess-list 101 deny ip any any\ninterface fastethernet 0/0\nip address 10.0.1.1 255.255.255.0\nip access-group 101 in\nno shutdown""
}"
Change the priority of Router3 in the OSPF network,"    ```
    Router3# configure terminal
    Router3(config)# router ospf 1
    Router3(config-router)# priority 100
    ```",COMPLETED,"Router3# configure terminal
Router3(config)# router ospf 1
Router3(config-router)# priority 100","{
  ""action"": ""COMPLETED"",
  ""completed_answer"": ""Router3# configure terminal\nRouter3(config)# router ospf 1\nRouter3(config-router)# priority 100""
}"
Configure Router4 to perform NAT overload for LAN to WAN traffic,"    ~~~Router4~~~~
    ip nat inside
    ip nat outside
    ip nat pool LAN_POOL 192.168.1.100 192.168.1.200 netmask 255.255.255.0
    ip nat inside source static 192.168.1.100 10.1.1.100
    ip nat inside source static 192.168.1.101 10.1.1.101",COMPLETED,"ip nat inside source list LAN_TO_WAN interface Ethernet0/1 overload
access-list LAN_TO_WAN permit any 192.168.1.0 0.0.0.255","{
  ""action"": ""COMPLETED"",
  ""completed_answer"": ""ip nat inside source list LAN_TO_WAN interface Ethernet0/1 overload\naccess-list LAN_TO_WAN permit any 192.168.1.0 0.0.0.255""
}"
Implement BGP routing protocol on Router1 for external connectivity,"    - Use AS 65000 as the autonomous system number.
    - Configure Router1 as a BGP router with IP address 10.1.1.1 and subnet mask 255.255.255.0.
    - Set the BGP router ID to 10.1.1.1.
    - Configure Router1 to advertise its IP address 10.1.1.1 as a BGP neighbor.
    - Configure Router1 to receive BGP updates from Router2 (IP address 10.2.2.2) and Router3 (IP",COMPLETED,"router bgp 65000
bgp router-id 10.0.1.1
network 10.0.1.0 mask 255.255.255.0
neighbor 10.0.12.2 remote-as 65000
eighbor 10.0.14.2 remote-as 65000","{
  ""action"": ""COMPLETED"",
  ""completed_answer"": ""router bgp 65000\nbgp router-id 10.0.1.1\nnetwork 10.0.1.0 mask 255.255.255.0\nneighbor 10.0.12.2 remote-as 65000\neighbor 10.0.14.2 remote-as 65000""
}"
Configure Router2 to use a different routing metric for OSPF,"    ```cisco
    Router2# configure terminal
    Router2(config)# router ospf 1
    Router2(config-router)# metric 100
    Router2(config-router)# exit
    Router2(config)# end
    ```",COMPLETED,"Router2# configure terminal
Router2(config)# router ospf 1
Router2(config-router)# default-metric 100
Router2(config-router)# exit
Router2(config)# end","{
  ""action"": ""COMPLETED"",
  ""completed_answer"": ""Router2# configure terminal\nRouter2(config)# router ospf 1\nRouter2(config-router)# default-metric 100\nRouter2(config-router)# exit\nRouter2(config)# end""
}"
Implement VRF (Virtual Routing and Forwarding) on Router3 for network isolation,"    ```
    Router3# configure terminal
    Router3(config)# vrf definition vrf_name
    Router3(config-vrf)# exit
    Router3(config)# interface type number
    Router3(config-if)# ip vrf forwarding vrf_name
    Router3(config-if)# exit
    ```",COMPLETED,"Router3# configure terminal
Router3(config)# vrf definition management
Router3(config-vrf)# exit
Router3(config)# interface Ethernet0/2
Router3(config-if)# ip vrf forwarding management
Router3(config-if)# exit","{
  ""action"": ""COMPLETED"",
  ""completed_answer"": ""Router3# configure terminal\nRouter3(config)# vrf definition management\nRouter3(config-vrf)# exit\nRouter3(config)# interface Ethernet0/2\nRouter3(config-if)# ip vrf forwarding management\nRouter3(config-if)# exit""
}"
Configure Router4 to use a different default gateway for specific traffic,"    ~~~Router4~~~~
    ip cef
    ip route 192.168.1.0/24 10.1.1.1
    ip route 10.1.1.0/24 192.168.1.1",COMPLETED,"ip cef
ip route 192.168.1.0/24 10.1.1.1
ip route 10.1.1.0/24 192.168.1.1
access-list 1 permit 192.168.1.0 0.0.0.255
route-map set-default-gw permit 10
match ip address 1
set ip next-hop 10.14.14.1","{
  ""action"": ""COMPLETED"",
  ""completed_answer"": ""ip cef\nip route 192.168.1.0/24 10.1.1.1\nip route 10.1.1.0/24 192.168.1.1\naccess-list 1 permit 192.168.1.0 0.0.0.255\nroute-map set-default-gw permit 10\nmatch ip address 1\nset ip next-hop 10.14.14.1""
}"
Implement traffic shaping on Router1 to limit bandwidth for HTTP traffic.,"    ```
    Router1(config)# policy-map http-traffic-shaping
    Router1(config-pmap)# class class-default
    Router1(config-pmap-c)# shape average 10000000
    Router1(config-pmap-c)# police rate 10000000
    Router1(config-pmap-c)# conform-action transmit
    Router1(config-pmap-c)# exceed-action drop
    Router1(config-pmap-c)# violate-",COMPLETED,"Router1(config)# policy-map http-traffic-shaping
Router1(config-pmap)# class class-default
Router1(config-pmap-c)# shape average 10000000
Router1(config-pmap-c)# police rate 10000000
Router1(config-pmap-c)# conform-action transmit
Router1(config-pmap-c)# exceed-action drop
Router1(config-pmap-c)# violate-action transmit","{
  ""action"": ""COMPLETED"",
  ""completed_answer"": ""Router1(config)# policy-map http-traffic-shaping\nRouter1(config-pmap)# class class-default\nRouter1(config-pmap-c)# shape average 10000000\nRouter1(config-pmap-c)# police rate 10000000\nRouter1(config-pmap-c)# conform-action transmit\nRouter1(config-pmap-c)# exceed-action drop\nRouter1(config-pmap-c)# violate-action transmit\n""
}"
