id,question,answer,category
2869,"How do you configure SIP ALG support on Cisco ASR 1000 Aggregation Services Router to ensure seamless communication between proxies, User Agent Client (UAC), and User Agent Server (UAS) in scenarios involving no proxy between the client and server?","To configure SIP ALG support on Cisco ASR 1000 Aggregation Services Router, you can use the following commands:

1. Enable SIP ALG:
```
ip sip alg enable
```

2. Configure SIP ALG for a specific interface or all interfaces:
```
interface <interface-name>
 ip sip alg enable
```
or
```
ip sip alg enable all-interfaces
```

3. Set the SIP ALG mode to ""rewrite"" (default is ""translate""):
```
ip sip alg rewrite
```

4. Configure SIP ALG for a specific protocol (e.g., TCP or UDP):
```
ip sip alg protocol <protocol> {translate | rewrite}
```

5. Verify SIP ALG configuration:
```
show ip sip alg
```

Example Cisco IOS code:
```cisco
Router(config)# ip sip alg enable
Router(config)# interface GigabitEthernet0/0/0
 Router(config-if)# ip sip alg enable
Router(config-if)# ip sip alg rewrite
Router(config-if)# exit
Router(config)# show ip sip alg
```
This configuration ensures that SIP ALG is enabled on the Cisco ASR 1000 Aggregation Services Router, allowing it to correctly translate or rewrite SIP packets as needed in scenarios involving proxies and User Agent Clients (UAC) and Servers (UAS).",SECURITY
959,How can we configure all service instances within the same bridge-domain as secured service instances?,"To configure all service instances within the same bridge-domain as secured service instances, you can use the following Cisco IOS command:
```
bridge domain <name> instance-type secure
```
This command sets the instance type of a bridge domain to ""secure"", which means that all services instances within that bridge domain will be secured.

Example:
```
Router# configure terminal
Router(config)# bridge domain my_bridgedomain instance-type secure
```
Note: This configuration is specific to VXLAN (Virtual Extensible LAN) technology, and it requires a Cisco Nexus 9000 or later platform.",SECURITY
2488,How can you enable stateful packet inspection on a device using Cisco IOS XE?,"To enable stateful packet inspection on a device using Cisco IOS XE, you can use the following command:
```
class type inspect class-map-name
```
This command configures the device to perform deep packet inspection and maintain state information about each flow or session being inspected. The `class-map-name` parameter specifies the name of the class map that defines the traffic to be inspected.

Example:
```
Router(config)# class type inspect my_traffic_class
```
In this example, the `my_traffic_class` class map is configured to perform stateful packet inspection on the device.",SECURITY
2844,What ALG (Application Layer Gateway) support is required to make FTP work over IPv6 packet inspection in Firewalls?,"**Question:** What ALG (Application Layer Gateway) support is required to make FTP work over IPv6 packet inspection in Firewalls?

**Answer:**

To enable FTP over IPv6 packet inspection in firewalls, we need FTP66 ALG support. This is because traditional NAT64/NAT44 configurations would not allow direct access from an IPv6-only client to an IPv4-only server.

In Cisco IOS configuration, you can achieve this using the following commands:

```
ip nat inside
ip nat outside
!
ftp66 enable
```

**Explanation:**

* `ip nat inside` and `ip nat outside` configure NAT64/NAT44.
* `ftp66 enable` enables FTP ALG support for IPv6 packet inspection.

With these configurations, the firewall can perform necessary translations to allow IPv6-only clients to access IPv4-only servers using FTP protocol.",SECURITY
4143,How can we configure Cisco's L2F protocol to work seamlessly with Microsoft's PPTP protocol for secure remote access?,"To combine Cisco's Layer 2 Forwarding (L2F) protocol and Microsoft's Point-to-Point Tunneling Protocol (PPTP), you'll need to configure the following on your Cisco router:

1. L2F:
```
l2f map pptp <remote-VPN-server> 0.0.0.0
l2f group pptp <group-name>
```
Replace `<remote-VPN-server>` with the IP address of the PPTP server and `<group-name>` with a unique name for your L2F group.

Example:
```
l2f map pptp 192.168.1.100 0.0.0.0
l2f group pptp VPN_GROUP
```
2. PPTP:
```
pppoe-server pptp <remote-VPN-server> 0 0 0
pppoe-client pptp <local-IP-address> 0 0 0
```
Replace `<remote-VPN-server>` with the IP address of the L2F server and `<local-IP-address>` with the IP address of your local interface.

Example:
```
pppoe-server pptp 192.168.1.100 0 0 0
pppoe-client pptp 10.0.0.1 0 0 0
```
This configuration enables L2F and PPTP protocols to work together, allowing remote access to your network.

Note: This is a simplified example and actual configurations may vary depending on your specific environment and requirements. Always test your configurations in a lab environment before deploying them in production.",SECURITY
3842,What feature can we use to enable Direct Cloud Access functionality with DNS traffic recognition and classification in our network?,"To enable Direct Cloud Access functionality with DNS traffic recognition and classification, we can utilize the Umbrella Connector feature, which extracts information from DNS packets. Additionally, we can combine this feature with Cisco NBAR (Network Based Application Recognition) for first packet classification.

Here is an example of how to configure this in Cisco IOS:
```
 Router(config)# ip nbar protocol-recognizer dns
 Router(config)# umbrella connector enable
```
This configuration enables the Umbrella Connector feature, which allows us to extract and use information from DNS packets. NBAR's first packet classification capability helps improve the accuracy of our DNS traffic recognition and classification.

With this configuration in place, we can gain visibility into our network's DNS traffic and take advantage of Direct Cloud Access functionality for improved security and policy enforcement.",SECURITY
1804,What is the command to configure the IPv6 address of the private TACACS+ server for the group server?,"```
server-private ipv6-address 2001:0db8:1234:5678::1
```
Explanation: The `server-private` command is used to configure the private TACACS+ server, and the `ipv6-address` subcommand is used to specify the IPv6 address of the group server. In this example, the IPv6 address `2001:0db8:1234:5678::1` is configured for the private TACACS+ server.

Note: The actual IPv6 address used may vary depending on your network configuration and requirements.",SECURITY
3422,"How can you configure TACACS+ server group ""default-group"" to associate a server and set up DNIS mapping for RADIUS server groups?","To configure the TACACS+ server group ""default-group"" and associate a server, use the following commands:
```
aaa group server tacacs default-group
server 172.20.0.1

aaa authentication ppp default group default-group
aaa accounting network default start-stop group default-group
```

To set up DNIS mapping for RADIUS server groups, use the following commands:
```
radius-server dnis-mapping 77-7777 sg1 auth sg2 acct
radius-server dnis-mapping 88-8888 sg3 auth default-group acct
radius-server dnis-mapping 99-9999 sg3 auth default-group stop
```

All other calls with DNIS numbers not defined will use the ""default-group"" server group for authentication and accounting.",SECURITY
2377,What is the name of the keyring used for VPN authentication?,"The keyring used for VPN authentication is ""keyring VPN1"".

This configuration is reflected in the following Cisco IOS command:
```
crypto pki keyring VPN1
```",SECURITY
2016,How do I configure cut-and-paste certificate enrollment on my Cisco device?,"To configure cut-and-paste certificate enrollment on your Cisco device, you can use the following commands:
```
crypto pki enroll cert-enrollment
  enrollment mode manual
  enrollment terminal
  cert-enrollment server 88
```
This will enable the cut-and-paste certificate enrollment feature and specify the server IP address (in this case, `88`) where the device will send the certificate request.",SECURITY
3892,How can you ensure that BFD sessions on standby RP do not receive or send packets until a switchover occurs?,"To achieve this requirement, you can configure the BFD protocol to remain in a ""standby"" state on the active RP during normal operation. This can be done by using the following Cisco IOS command:
```
router(config)# bfd template <template-name> standby
```
This command enables the BFD template and sets it to standby mode, which prevents the BFD session from sending or receiving packets until a switchover occurs.

For example:
```
router(config)# bfd template my-template standby
```
This configuration ensures that BFD sessions on standby RP do not receive or send packets and do not process expired timers until a switchover occurs. When a switchover does occur, the BFD protocol will change its state to active, register with Cisco Express Forwarding to receive packets, and send packets for any elements that have expired.",ROUTING
465,How do you configure the Mapping of Address and Port Using Translation (MAP-T) feature in Cisco IOS?,"To configure MAP-T, refer to the configuration guide on page 239 for specific details.

In general, you would use the following Cisco IOS command:
```
map-t {inside | outside} address-mask [transport-port] [timeout]
```
For example:
```
map-t inside 10.1.0.0 255.255.255.0 transport-udp 5000 timeout 3600
```
This command configures a MAP-T rule that maps the inside IP address range 10.1.0.0/24 to the outside IP address range and transports UDP packets on port 5000 for up to 1 hour.

Please note that this is just an example, and the actual configuration may vary depending on your specific network requirements and configuration details.",ROUTING
3209,How do you enable IP redundancy by assigning a name to the GLBP group?,"To enable IP redundancy by assigning a name to the GLBP (Generic Link Layer Protocol) group, use the following command in Cisco IOS:
```
Router(config)# glbp group-name <redundancy-name>
```
Replace `<redundancy-name>` with a unique name for your GLBP group.

For example:
```
Router(config)# glbp group-name my_glbp_group
```
This will enable IP redundancy and assign the specified name to the GLBP group, allowing multiple routers or switches to share a common virtual router MAC address.",ROUTING
2532,How to configure redundancy group (RG) management with VIP and VMAC ownership in Cisco IOS?,"To configure redundancy group (RG) management with VIP and VMAC ownership in Cisco IOS, you can use the following command:

Router(config)# ip pim-group <rg-name> <vip-addr> <vmac-addr>

For example:

Router(config)# ip pim-group RG1 192.168.1.100 FE80::200

Here, ""RG1"" is the redundancy group name, ""192.168.1.100"" is the IPv4 VIP address, and ""FE80::200"" is the unique VMAC address per RII.

Note: You need to have PIM (Protocol-Independent Multicast) enabled on the router for this configuration to take effect.

Example Cisco IOS code:
```
Router(config)# ip pim sparse-mode
Router(config)# ip pim-group RG1 192.168.1.100 FE80::200
```",ROUTING
3324,How do you configure HSRP (Hot Standby Router Protocol) on an interface?,"To configure HSRP on an interface, follow these steps:

1. Enter interface configuration mode using:
```
Router(config)# interface GigabitEthernet 0/0
Router(config-if)#
```

2. Configure the primary or secondary IP address for the interface using:
```
Router(config-if)# ip address 10.1.1.1 255.255.255.0
Router(config-if)#
```

3. Set up HSRP priority with:
```
Router(config-if)# standby 100 priority 110
Router(config-if)#
```

4. Optionally configure HSRP preemption with:
```
Router(config-if)# standby 100 preempt delay minimum 10 reload
Router(config-if)#
```

5. Activate HSRP using:
```
Router(config-if)# standby 100 ip 10.1.1.2 secondary
Router(config-if)#
```

Note: Repeat these steps for different standby groups as needed.

**Example Output:**
```
Router(config-if)# show standby

Standby Group 100 (GigabitEthernet0/0)
  State is Active
  Timer interval set to 30 seconds
  Configured master IP address 10.1.1.2 (vserver)
  Currently mastering with IP address 10.1.1.1 (local)

Router(config-if)#
```",ROUTING
563,How can we dynamically translate multicast addresses using Cisco IOS?,"We can use IP Multicast Dynamic NAT (DNAT) to achieve dynamic translation of multicast addresses. In Cisco IOS, this feature allows us to map multiple source addresses to a single destination address.

Here's an example configuration:
```
ip nat inside source static 224.1.1.1 192.168.1.1
ip nat outside source dynamic 225.1.1.1

multicast-routing
```
In this example, the `ip nat inside source static` command maps a specific multicast source address (224.1.1.1) to an internal IP address (192.168.1.1). The `ip nat outside source dynamic` command allows for dynamic translation of multicast addresses on the outside interface.

The `multicast-routing` command enables multicast routing on the router, allowing it to forward multicast traffic between interfaces.",ROUTING
1948,How can I configure another tunnel path from R11 for a multipoint GRE tunnel?,"```
R11# configure terminal
R11(config)# ip nhrp map 10.0.200.85 172.16.85.5 2 600 10.0.200.85
R11(config)# ip gre multipoint 50000 tunnel source GigabitEthernet3 tunnel mode gre 
multipoint tunnel key 200 tunnel vrf INET2
R11(config)# ip nhrp authentication cisco
R11(config)# ip nhrp network-id 2
R11(config)# ip nhrp holdtime 600
R11(config)# ip nhrp nhs 10.0.200.85
R11(config)# ip tcp adjust-mss 1360
R11(config)# ip mtu 14000
no ip redirects
load interval 30
delay 1000
tunnel protection ipsec profile DMVPN-PROFILE2
domain one path INET
```
Note: The above answer is based on Cisco IOS configuration and may vary depending on the specific router model and version being used.",ROUTING
492,How do you implement Carrier-Grade Network Address Translation (CGNAT) using CGN mode on a Cisco device?,"To implement Carrier-Grade Network Address Translation (CGNAT) using CGN mode, follow these steps on your Cisco device:
```
Router# configure terminal
Router(config)# ip nat settings mode cgn

Router(config)# ip nat inside source static 192.168.2.1 192.168.34.2

Router(config)# no ip nat create flow-entries

Router(config)# interface virtual-template
Router(config-if)# ip nat inside

Router(config)# interface gigabitethernet 2/1/1
Router(config-if)# ip nat outside
```
Note: Replace `gigabitethernet 2/1/1` with your actual physical interface.",ROUTING
2611,How can you configure VRF forwarding and IP address settings on an interface?,"```
Device(config)# interface vasiright 100
Device(config-if)# ip vrf forwarding VRF1
Device(config-if)# ip address 192.168.1.1 255.255.255.0
```

Note: The `ip vrf forwarding` command is used to enable VRF forwarding on the interface, and the `ip address` command is used to configure the IP address and subnet mask for the interface.",ROUTING
1377,How do you configure BSR devices to announce scope-to-RP mappings in IPv6 PIM?,"You can configure BSR devices to announce scope-to-RP mappings in IPv6 PIM by using the following command:

`ipv6 pim [vrf vrf-name] bsr announced rp ipv6-address [group-list access-list-name] [priority priority-value] [bidir] [scope scope-value]`

Example:
```
Router(config)# ipv6 pim VRF-TEST bsr announced rp 2001:db8:1234::1 group-list G-TEST access-list-name A-LIST-TEST priority 10 bidir scope 2001:db8:1234::/32
```

This command configures the BSR device to announce the scope-to-RP mapping for the specified IPv6 address (2001:db8:1234::1) and group list (G-TEST). The `priority` value is set to 10, indicating that this BSR device has a higher priority than other devices. The `bidir` keyword indicates that this is a bi-directional mapping. Finally, the `scope` value specifies the scope of the announced mapping as 2001:db8:1234::/32.",ROUTING
3716,How can we ensure that PfRv3 policies created on the hub-master controller are properly propagated to all branch sites to support smart probing and scaling up to 2000 branches?,"To achieve this, you can use the ""policy-map"" command on the hub-master controller to define the desired treatment for differentiated service code points (DSCPs) or application IDs such as telepresence, WebEx, etc. The policy map can be applied to a class-map that defines the specific DSCP or application ID.

Here's an example of how you can do this:

hub-master# configure terminal
Enter configuration commands, one per line, end with CNTL-Z.
```
Router(config)# policy-map TELEPRESENCE_POLICING
 Router(config-pmap)# class telepresence-class
 Router(config-pmap-c)# drop 1000
```

This policy map defines a class called ""telepresence-class"" that drops 1000 packets for the DSCP value associated with telepresence applications.

Next, you can use the ""service-policy"" command to apply this policy map to an interface or a class on the hub-master controller:

hub-master# configure terminal
Enter configuration commands, one per line, end with CNTL-Z.
```
Router(config)# interface GigabitEthernet0/0
 Router(config-if)# service-policy input TELEPRESENCE_POLICING
```

This applies the policy map to all incoming traffic on interface GigabitEthernet0/0.

To propagate this policy map to all branch sites, you can use the ""master"" command:

hub-master# configure terminal
Enter configuration commands, one per line, end with CNTL-Z.
```
Router(config)# master controller 10.1.1.1
 Router(config-master)# policy-map TELEPRESENCE_POLICING
```

This creates a new master controller at IP address 10.1.1.1 and applies the policy map to it.

To scale up to 2000 branches, you can use PfRv3's ability to create multiple master controllers:

hub-master# configure terminal
Enter configuration commands, one per line, end with CNTL-Z.
```
Router(config)# master controller 10.1.1.1-2000
 Router(config-master)# policy-map TELEPRESENCE_POLICING
```

This creates a range of master controllers from IP address 10.1.1.1 to 10.1.1.2000 and applies the policy map to each one.

Finally, to support VRF awareness, you can use PfRv3's ability to create multiple VRFs:

hub-master# configure terminal
Enter configuration commands, one per line, end with CNTL-Z.
```
Router(config)# vrf telepresence-vrf
 Router(config-vrf)# rd 100:1
 Router(config-vrf)# address-family ipv4 unicast
 Router(config-vrf-af)# route-target export 100:1
```

This creates a new VRF called ""telepresence-vrf"" with an RD of 100:1 and an AF of IPv4 unicast. You can then apply this VRF to the policy map:

hub-master# configure terminal
Enter configuration commands, one per line, end with CNTL-Z.
```
Router(config)# policy-map TELEPRESENCE_POLICING
 Router(config-pmap)# class telepresence-class
 Router(config-pmap-c)# vrf telepresence-vrf
```

This applies the ""telepresence-vrf"" VRF to the policy map.

By following these steps, you can ensure that PfRv3 policies created on the hub-master controller are properly propagated to all branch sites to support smart probing and scaling up to 2000 branches while also supporting VRF awareness.",ROUTING
1916,How can we assign a unique path-id for each path in a domain on DMVPN tunnel interfaces?,"To assign a unique path-id for each path in a domain on DMVPN tunnel interfaces, you can use the following command:
```
Device(config-if)# domain default path MPLS path-id <1-62>
```
For example, to set the path-id to 5 for a specific interface, you would enter:
```
interface Tunnel0
  domain default path MPLS path-id 5
!
```
Note: The `<1-62>` part indicates that the value can be any number between 1 and 62.",ROUTING
1185,What is the recommended configuration to filter Auto-RP discovery and announcement messages at an administratively scoped boundary?,"To configure the filter-autorp keyword and examine and filter Auto-RP discovery and announcement messages at the administratively scoped boundary, you can use the following Cisco IOS command:

Router(config)# ip pim-group-range <group-range> filter-autorp

This configuration ensures that all addresses in the Auto-RP group range are permitted by the boundary ACL. If not permitted, the entire group range is filtered and removed from the Auto-RP message before forwarding it.

Example:
```
Router(config)# ip pim-group-range 239.1.1.0/24 filter-autorp
```",ROUTING
1886,"How do you configure IP address, subnet mask, MTU size, NHRP authentication, map entry, multicast support, network ID, hold time, NHS entry, TCP MSS adjustment, load interval, and delay for an interface on a Cisco router?","```
interface GigabitEthernet6
 ip address 10.0.200.13 255.255.255.0
 no ip redirects
 ip mtu 1400
 ip nhrp authentication cisco
 ip nhrp map 10.0.200.85 172.16.85.5
 ip nhrp multicast 172.16.85.5
 ip nhrp network-id 2
 ip nhrp holdtime 600
 ip nhrp nhs 10.0.200.85
 ip tcp adjust-mss 1360
 load-interval 30
 delay 1000
 tunnel source GigabitEthernet6
 tunnel mode gre multipoint
 tunnel key 200
 tunnel vrf INET2
 tunnel protection ipsec profile DMVPN-PROFILE2
```

Note: The answer is based on the provided configuration, and it's written in Cisco IOS command syntax.",ROUTING
1189,What is the mechanism used by receivers to provide information about actively sending multicast traffic hosts in the network?,"The mechanism used by receivers to provide information about actively sending multicast traffic hosts in the network is IGMPv3. According to the configuration, receivers provide information through source addresses relayed to last-hop devices by IGMPv3.

In Cisco IOS, this can be configured using the following command:
```
ip igmp snooping v3
```
This command enables IGMPv3 snooping on the router, allowing it to track multicast traffic sent by hosts and relay that information to last-hop devices.",ROUTING
1226,How can we ensure that all PIMv6 anycast RP group members have the same IP addresses and consistent configurations in all RPs?,"To achieve this, each device in the anycast RP set must be configured with the addresses of all other devices in the set, including the local device's IP address. This can be done using Cisco IOS commands.

Here is an example of how to configure a PIMv6 anycast RP:

```cisco
Router(config)# ip pim rp-candidate 2001:DB8:0::/64
Router(config)# ip pim anycast-rp 2001:DB8:0::/64 2001:DB8:1::/64 2001:DB8:2::/64
```

In this example, the `ip pim rp-candidate` command is used to specify the anycast RP candidate IP address, and the `ip pim anycast-rp` command is used to configure the IP addresses of all other devices in the set. The local device's IP address must also be included in the list.

By configuring each device with the addresses of all other devices in the set, we can ensure that all PIMv6 anycast RP group members have the same IP addresses and consistent configurations in all RPs.",ROUTING
672,How can we configure the router to prefer non-UDL for IGMP routing?,"To configure the router to prefer non-UDL for IGMP routing, you can use the following Cisco IOS command:
```
ip igmp snooping unregistered-trap
```
This command tells the router to send an IGMP report when a host joins or leaves a multicast group.

Note: The distance of the interface with the unicast routing protocols is greater than the distance of the non-UDL, which means that the router will use the unicast routing protocols (e.g. OSPF, EIGRP) to determine the best path for IGMP traffic, rather than relying solely on the non-UDL protocol.

Example configuration:
```
Router(config)# ip igmp snooping
Router(config)# ip igmp snooping unregistered-trap
Router(config)# router ospf 1
Router(config)# network 192.168.1.0/24 area 0
```",ROUTING
1913,What is the configuration command to configure a hub-border router for transit site support in a Cisco network?,"To configure a hub-border router for transit site support, you would use the following command:
```
ip domain-lookup
```
This command enables IP Domain Name Service (DNS) lookups on the external interfaces of the border router.

Additionally, to specify the source interface of the border router, you can use the `source-interface` option with the `ip domain-lookup` command:
```
ip domain-lookup source-interface <interface_name>
```
Replace `<interface_name>` with the name of the interface that will be used as the source for DNS lookups.

To configure the IP address of the hub-master controller, you can use the following command:
```
ip address <hub_master_controller_IP> mask <subnet_mask>
```
Replace `<hub_master_controller_IP>` and `<subnet_mask>` with the actual IP address and subnet mask of the hub-master controller.

Finally, to specify the domain path name on external interfaces, you can use the `domain-path` command:
```
domain-path <domain_path_name>
```
Replace `<domain_path_name>` with the desired domain path name.

Here's an example configuration that incorporates these commands:
```
Router(config)# ip domain-lookup
Router(config)# ip address 10.1.1.1 mask 255.255.255.0
Router(config)# source-interface GigabitEthernet0/0
Router(config)# domain-path cisco.com
```
This configuration enables DNS lookups on the external interface GigabitEthernet0/0, sets the IP address of the hub-master controller to 10.1.1.1 with a subnet mask of 255.255.255.0, and specifies the domain path name as `cisco.com`.",ROUTING
1576,How can we enable Bidirectional Forwarding Detection (BFD) on RIPv2 neighbors?,"```
Router(config)# enable
Router(config)# configure terminal
Router(config)# router rip
Router(config-router-rip)# bfd all-interfaces
Router(config-router-rip)# end
```",ROUTING
4240,What is the reliable multicast transport protocol used for multicast applications with basic reliability requirements in our network?,"In our network, we use PGM (Pragmatic General Multicast) protocol to provide a reliable multicast transport mechanism for multicast applications that require basic reliability. The PGM protocol consists of two main parts: a source part and a receiver part.

Here's an example of how we can configure the PGM protocol on Cisco IOS:

```cisco
Router(config)# ip pgm group 239.1.1.1 timeout 30
Router(config)# ip pgm source 192.168.1.100
```

In this configuration, `ip pgm group` command is used to specify the multicast group address (239.1.1.1) and the timeout value (30 seconds). The `ip pgm source` command is used to specify the source IP address (192.168.1.100) that will be sending data to the multicast group.

By using PGM protocol, we can ensure reliable delivery of multicast traffic in our network with basic reliability requirements.",ROUTING
64,"To enable privileged EXEC mode and configure an IP SLAs operation for UDP jitter, what is the correct Cisco IOS command sequence to use?","Device# enable
Device(config)# configure terminal
Device(config)# ip sla 10
Device(config-sla-oper-10)# udp-jitter <destination-ip-address | destination-hostname>
Device(config-sla-oper-10)# destination-port <source-port port-number>
Device(config-sla-oper-10)# [source-ip {ip-address | hostname}]
Device(config-sla-oper-10)# [control {enable | disable}]
Device(config-sla-oper-10)# [num-packets number-of-packets]
Device(config-sla-oper-10)# [interval interpacket-interval]

For example:
```
Device(config)# enable
Device# configure terminal
Device(config)# ip sla 10
Device(config-sla-oper-10)# udp-jitter 192.0.2.1
Device(config-sla-oper-10)# destination-port 5000
Device(config-sla-oper-10)# control enable
```

Note: The `<destination-ip-address | destination-hostname>` and other variables should be replaced with the actual values needed for your specific use case.",MONITORING
