id,question,ollama,openai
297,How is NAT configured to allow internal users access to the internet through a pool of addresses (net-208)?,SECURITY,CONNECTIVITY
298,What is the command used to enable network address translation (NAT) in Cisco IOS?,SECURITY,CONNECTIVITY
299,How can we configure NAT to translate the IP addresses of hosts in the 10.1.1.1/24 network to public IP addresses when they access resources outside the private network?,SECURITY,CONNECTIVITY
301,What is the maximum number of allowed NAT entries in this configuration?,SECURITY,CONNECTIVITY
305,Is it necessary to check the status of SIP and H.323 protocols before performing tasks in this module?,GENERAL,MONITORING
308,How can we ensure that the SIP (Session Initiation Protocol) functionality is preserved when enabling NAT support on our Cisco router?,SECURITY,CONNECTIVITY
310,How can we configure NAT to support communication between an IP phone and Cisco CallManager in a scalable environment?,SECURITY,CONNECTIVITY
317,How do I enable support for multipart Session Description Protocol (SDP) in a SIP Application Layer Gateway (ALG)?,SECURITY,CONNECTIVITY
318,How can we enable multipart Session Description Protocol (SDP) for Network Address Translation (NAT)?,SECURITY,CONNECTIVITY
319,How do you enable privileged EXEC mode and configure the skinny protocol on a specified TCP port using Application-Level Gateways with NAT on a Cisco router?,SECURITY,CONNECTIVITY
322,What is the required configuration to enable Network Address Translation (NAT) inside for PPPoE to work with CGN?,SECURITY,CONNECTIVITY
323,How to configure Dynamic Carrier Grade NAT with a pool of registered IP addresses for dynamic address translation?,SECURITY,ROUTING
324,How can you enable CGN operating mode on a Cisco device and define a standard access list with a host?,SECURITY,ROUTING
326,How can we configure Dynamic Port Address Carrier Grade NAT (PAT) to map multiple unregistered IP addresses to a single registered IP address using different ports?,SECURITY,ROUTING
328,How can you configure access list and interface settings for NAT (Network Address Translation) inside the network?,SECURITY,CONNECTIVITY
329,How do you enable and configure NAT (Network Address Translation) on the outside interface of a device?,SECURITY,ROUTING
330,What is the command used to configure the NAT settings mode for Configuring Dynamic Port Address Carrier Grade NAT?,SECURITY,ROUTING
331,How can we configure Carrier Grade Network Address Translation (CGN) to translate private IPv4 addresses into public IPv4 addresses?,SECURITY,ROUTING
332,How can we reduce the number of public IPv4 addresses required to access multiple private IPv4 addresses?,ROUTING,CONNECTIVITY
336,What is the configuration for NAT outside interfaces in an HSRP environment where two devices act as HSRP active and standby?,ROUTING,CONNECTIVITY
338,How can you configure Cisco IOS to allow only the HSRP active router to respond to an incoming ARP request for a router configured with a NAT address?,SECURITY,ROUTING
339,** How do you configure VRF-Aware Dynamic NAT Mapping with HSRP in Cisco IOS?,ROUTING,CONNECTIVITY
340,What NAT rule configuration is necessary to ensure VRF-Aware Dynamic NAT Mapping with HSRP?,SECURITY,CONNECTIVITY
341,"What feature supports stateless redundancy using HSRP with dynamic NAT, PAT, and interface overload configuration in the Carrier Grade NAT (CGN) mode?",SECURITY,ROUTING
343,What is required to enable VRF-Aware Dynamic NAT Mapping with HSRP on a Cisco router?,ROUTING,CONNECTIVITY
347, What is required to achieve stateful interchassis redundancy between two devices acting as backups for each other?,SECURITY,CONNECTIVITY
349,How do you configure stateful interchassis redundancy operation with redundant interfaces in pairs for hot standby functionality?,SECURITY,CONNECTIVITY
350,How do you specify an optional alias for the protocol instance in Cisco IOS?,GENERAL,ROUTING
351,How do you enable BFD (Bidirectional Forwarding Detection) for failure detection on the control interface with the failover protocol?,ROUTING,MONITORING
352,How can we configure stateful inter-chassis redundancy with specific parameters for a given group?,SECURITY,CONNECTIVITY
353,"What type of translation is enabled when the command ""ip nat outside"" is configured?",SECURITY,ROUTING
355,How do you configure stateful interchassis redundancy for Network Address Translation (NAT) in Cisco IOS?,SECURITY,ROUTING
357,How can we force active and standby RG reload in the redundancy application?,GENERAL,CONNECTIVITY
366,How do you specify an optional alias for the protocol instance in Cisco IOS?,GENERAL,ROUTING
369,How do I enable application redundancy in my Cisco device?,GENERAL,CONNECTIVITY
373,What is the command to define a standard access list for inside addresses that are to be translated?,SECURITY,CONNECTIVITY
377,How can you enable VRF-aware interchassis asymmetric routing support for zone-based firewalls and NAT in Cisco devices?,ROUTING,SECURITY
380,What are the necessary configuration steps to integrate a failover protocol with Bidirectional Forwarding Detection (BFD) in links?,CONNECTIVITY,ROUTING
384,How can we integrate NAT with multiple MPLS VPNs to enable IP traffic differentiation between them?,SECURITY,ROUTING
385,"How can we implement NAT to allow customers to use overlapped IP addresses while accessing services such as Internet connectivity, domain name servers (DNS), and voice over IP (VoIP) service in an MPLS cloud?",SECURITY,CONNECTIVITY
388,"What is the purpose of the ""ip nat inside source static local-ip global-ip"" command in configuring an MPLS VPN?",ROUTING,CONNECTIVITY
391,How can you configure NAT settings for multiple VPNs in Cisco IOS?,SECURITY,CONNECTIVITY
393,"What is the IP NAT configuration for the ""shop"" VRF to translate static source address 192.168.11.1?",ROUTING,CONNECTIVITY
396,What are the steps to set high and low thresholds for an address pool in Cisco IOS?,GENERAL,CONNECTIVITY
397,How can we enable the NAT 44 pool exhaustion alert feature to generate alerts before addresses in an address pool are exhausted?,SECURITY,MONITORING
399,"What is an example of a NAT translation entry in Cisco IOS that includes the translated destination IP address, original source port, original destination port, and translated destination port?",SECURITY,CONNECTIVITY
400,How do you enable HSL for all NAT translations and configure specific VPNs?,GENERAL,SECURITY
402,How can we configure VRF-aware stateless NAT64 IPv4 to IPv6 prefix mappings with support for multiple source and destination prefixes in a VRF?,ROUTING,CONNECTIVITY
405," What is the Cisco IOS command to configure Stateless NAT with 64-bit translation, mapping an IPv4 address to an IPv6 host?",SECURITY,ROUTING
407,What is the type of service set identifier (SSID) being used for the interface FastEthernet0/3/4?,GENERAL,CONNECTIVITY
409,How can you enable stateless NAT64 translation on an IPv6 interface in Cisco IOS?,SECURITY,ROUTING
411,What type of translator uses the corresponding IPv4 addresses to represent the IPv6 hosts?,GENERAL,CONNECTIVITY
412,What type of NAT algorithm should be used in the given configuration to support both stateful and stateless translation for IPv6 clients connecting to IPv4-only servers?,SECURITY,CONNECTIVITY
413,What type of translation support is provided for IPv6-initiated sessions?,SECURITY,CONNECTIVITY
414,What is the primary function of a Stateful NAT64 translator in an IPv6 network that needs to route packets between IPv6 and IPv4 networks?,ROUTING,CONNECTIVITY
415,How do you configure Stateful NAT64 with NAT overload or Port Address Translation (PAT) to support communication between IPv4-only and IPv6-only nodes?,SECURITY,CONNECTIVITY
417,What steps are taken to enable stateful Network Address Translation 64 (NAT64) with access control lists (ACLs) and prefix lists for filtering IPv6-initiated traffic flows?,SECURITY,ROUTING
418,How do you enable NAT64 high-speed logging (HSL) for up to 4 destinations?,SECURITY,MONITORING
420,What is required to operate FTP64 Application-Level Gateway Support for stateful Network Address Translation (NAT64) in Cisco IOS?,SECURITY,CONNECTIVITY
422,How can we disable NAT64 ALG service on a Cisco router?,SECURITY,CONNECTIVITY
423,What is the primary method for maintaining session information redundancy in a Stateful NAT64 configuration when an active Forwarding Processor (FP) fails?,SECURITY,CONNECTIVITY
424,How do I add a description to an interface configuration in Cisco IOS?,GENERAL,CONNECTIVITY
429,How do we define the Stateful NAT64 IPv4 address pool?,SECURITY,CONNECTIVITY
432,What command would you use to enable NAT64 prefix stateful for the IP address 2001:db8:1::1/96?,ROUTING,CONNECTIVITY
436,What is the configuration required to support Stateful NAT64—Intra-Chassis Redundancy feature in Cisco IOS XE Release 3.5S and later releases?,SECURITY,CONNECTIVITY
437,How do you configure stateless translation in Cisco IOS?,SECURITY,ROUTING
438,How can we achieve Interchassis redundancy support for stateful Network Address Translation 64 (NAT64) in our network configuration?,ROUTING,CONNECTIVITY
439,How can we ensure smooth switchover for application activity when a switchover occurs?,GENERAL,CONNECTIVITY
440,What is the recommended configuration to support fast failover in a LAN-LAN topology without introducing a dependency on routing protocol convergence?,CONNECTIVITY,ROUTING
441,What is the behavior of FTP64 ALG during control channel session and AUTH negotiation in a transparent mode setup?,SECURITY,CONNECTIVITY
442,What is the behavior of the FTP64 ALG when an IPv6 FTP client issues an FTP AUTH command?,SECURITY,CONNECTIVITY
447,What is an example of how to configure redundancy for an application in Cisco IOS?,GENERAL,CONNECTIVITY
448,"How do you configure a redundancy group with priority and failover threshold values, as well as control interface type and number?",ROUTING,CONNECTIVITY
449,What is the command to configure a data interface type and number for the redundancy application group in Cisco IOS?,GENERAL,CONNECTIVITY
451,How do you configure a redundancy interface identifier (RII) for a redundancy group-protected traffic interfaces in Cisco IOS?,ROUTING,CONNECTIVITY
453,How do I show NAT64 translations for the protocol TCP and configure a redundancy group-id?,SECURITY,CONNECTIVITY
454,How do you enable NAT64 on an interface?,ROUTING,CONNECTIVITY
455,What is the command to define the stateful NAT64 prefix for IPv4 hosts to translate IPv4 addresses into IPv6 addresses?,SECURITY,ROUTING
456,What is the purpose of implementing Interchassis Redundancy using Static Stateful NAT64 in a network environment?,ROUTING,CONNECTIVITY
458,What is the command used to configure redundancy on an interface in a Stateful NAT64 Interchassis Redundancy setup?,ROUTING,CONNECTIVITY
459,What is the RII (Redundancy Indicator Interval) value used in the redundancy configuration for this network?,GENERAL,ROUTING
467,What is the MAP-T configuration that allows IPv4 end hosts to communicate across the IPv6 domain with other IPv4 hosts while also supporting IPv4-translation of IPv6 addresses?,ROUTING,CONNECTIVITY
472,What is the maximum value for the Default Mapping Rule (DMR) prefix in configuring the basic mapping rule for address and port translation (MAP-T) in NAT?,SECURITY,CONNECTIVITY
473,How can we configure NAT64 MAP-T domain to enable address and port translation?,SECURITY,CONNECTIVITY
475,How can you exit NAT64 MAP-T BMR configuration mode and return to privileged EXEC mode?,SECURITY,GENERAL
476,How do you configure the Mapping of address and port mapping using translation (MAP-T) function on a device to translate packets between IPv6 and IPv4 addresses?,ROUTING,CONNECTIVITY
477,What is the purpose of configuring a MAP (Mapping of Address and Port) translation in Cisco routers?,SECURITY,ROUTING
478,How can we configure our Cisco router to handle IP fragmentation and reassembly for datagrams sent between IPv4 and IPv6 hosts?,CONNECTIVITY,ROUTING
479,What is the reason for using IPv6-translatable addresses in a MAP domain?,ROUTING,CONNECTIVITY
480,Can you completely disable flow cache entries when configuring NAT or NAT64?,SECURITY,ROUTING
481,What can be done to disable flow cache entries in NAT and NAT64 configurations?,SECURITY,CONNECTIVITY
482,How can I optimize memory usage and scalability for dynamic and static translations when the NAT configuration is not PAT?,SECURITY,ROUTING
483,How can I disable Flow Cache Entries in NAT and NAT64?,SECURITY,ROUTING
486,How can you configure the NAT64 to disable flow cache entries?,SECURITY,ROUTING
487,How can you disable flow cache entries in a static carrier-grade NAT (CGN) configuration?,SECURITY,ROUTING
488,How do you enable privileged EXEC mode and configure static CGN of the inside source address?,SECURITY,CONNECTIVITY
489,How can we configure NAT settings on an interface that connects to the outside network?,SECURITY,ROUTING
490,How do you disable flow cache entries for NAT and NAT64 in Cisco IOS?,SECURITY,ROUTING
491,"How can you enable IPv6 and IPv4 addressing on an interface, configure NAT64, and disable flow cache entries in static CGN?",ROUTING,CONNECTIVITY
492,How do you implement Carrier-Grade Network Address Translation (CGNAT) using CGN mode on a Cisco device?,SECURITY,ROUTING
493,How can we prevent Flow Cache Entries from being created in NAT and NAT64 configurations?,SECURITY,CONNECTIVITY
494,How do I configure Paired-Address-Pooling (PAP) support in NAT on my Cisco device?,SECURITY,ROUTING
495,What is an example of a configuration that supports more global addresses in the address pool than standard NAT?,SECURITY,CONNECTIVITY
496,How can we configure IP NAT to use multiple pools with overload for devices defined by ACLs acl1 and acl2?,SECURITY,ROUTING
499,How do you enable Paired-Address-Pooling (PAP) support in NAT and configure it to limit the number of PAP translations?,SECURITY,CONNECTIVITY
500,What is the maximum number of paired addresses that can be used in NAT paired address pooling mode?,SECURITY,ROUTING
501,What is the correct syntax to set a primary IP address for an interface in Cisco IOS?,GENERAL,CONNECTIVITY
502,How do you configure dynamic NAT to limit PAP to 250?,SECURITY,CONNECTIVITY
503,How can you implement dynamic Port Address Translation (PAT) or NAT overload for inside traffic using an access list and IP address pool?,SECURITY,ROUTING
504,"What IP address configuration is required to connect the interface to the inside network, which is subject to NAT?",SECURITY,CONNECTIVITY
505,How do you configure paired address pooling along with Network Address Translation (NAT) rules to allow multiple devices behind the router to share the same IP address?,SECURITY,ROUTING
506,What are the IP address and NAT settings configured for interface GigabitEthernet 0/1/2 to use it as an outside interface?,SECURITY,CONNECTIVITY
507,How do we configure the carrier-grade Network Address Translation (CGN) mode to allocate a block of ports for translation instead of individual ports in CGN mode?,SECURITY,ROUTING
508,How can I enable paired-address pooling to use this feature effectively?,GENERAL,SECURITY
511,What are the steps to enable privileged EXEC mode and configure interfaces for NAT?,GENERAL,ROUTING
512,How can I enable the CGN (Carrier Grade NAT) mode on my Cisco device?,SECURITY,ROUTING
513,What is an example of a standard access list configuration that permits addresses for translation?,SECURITY,CONNECTIVITY
536,"What is the requirement for UDP traffic in an H.323 network, and how does Cisco's Basic H.323 ALG Support enable it?",SECURITY,CONNECTIVITY
539,What are the necessary configurations to enable NAT (Network Address Translation) for an inside network device?,SECURITY,ROUTING
541,How does Cisco IOS manage SIP ALG (Application-Layer Gateway) for media-related information storage in a local database?,SECURITY,CONNECTIVITY
543,How do you enable NAT support for SIP and configure the port number for either TCP or UDP?,SECURITY,CONNECTIVITY
544,How do you configure the match criterion for a class map based on a specific protocol?,SECURITY,QOS
549,How can I configure the maximum length of an unanswered SIP call to prevent future messages related to this call from being improperly parsed by the SIP ALG?,SECURITY,CONNECTIVITY
551,How do you enable privileged EXEC mode and display SIP ALG information?,GENERAL,SECURITY
554,How can we ensure that different VPNs have their own separate address space for translated addresses in Cisco IOS?,SECURITY,ROUTING
555,What is the command used to configure Match-in-VRF support for NAT in Cisco IOS?,SECURITY,CONNECTIVITY
557,How do you configure Static NAT with Match-in-VRF?,SECURITY,CONNECTIVITY
558,How can you configure a NAT configuration with a shared address pool inside a specific VRF?,SECURITY,ROUTING
559,How does the IP Multicast Dynamic NAT feature handle source address translation for multicast packets when connecting to the Internet with hosts that do not have globally unique IP addresses?,ROUTING,CONNECTIVITY
560,What is the purpose of configuring NAT (Network Address Translation) on a router at the border of a stub domain?,SECURITY,CONNECTIVITY
561,How can we achieve load distribution among multiple local IP addresses while using only one global IP address?,ROUTING,CONNECTIVITY
562,"How can we configure NAT for a scenario where an outside local address is 192.0.2.1 and an inside global address is 10.1.1.100, with support for VRF X?",SECURITY,CONNECTIVITY
564,How can I configure IP multicast dynamic NAT on my Cisco router?,ROUTING,CONNECTIVITY
566,How can you set a primary or secondary IP address for an interface?,GENERAL,CONNECTIVITY
567,What is the purpose of IP Multicast Dynamic Network Address Translation (NAT) when translating source addresses of multicast packets?,ROUTING,CONNECTIVITY
568,What is the default session duration for a GRE (Generic Routing Encapsulation) session when using NAT (Network Address Translation) with Cisco IOS?,SECURITY,CONNECTIVITY
569,What configuration command would you use to enable NAT of the inside source address using an access list and pool overload?,SECURITY,ROUTING
570,How do you configure Address Translation for PPTP using NAT and IP access lists?,SECURITY,CONNECTIVITY
571,What happens when Network Address Translation (NAT) is configured in our network?,SECURITY,CONNECTIVITY
572,What is the recommended command to enable NPTv6 support in Cisco IOS?,SECURITY,ROUTING
573,How can we achieve interconnection of different networks in an IPv6 environment?,CONNECTIVITY,ROUTING
574,**Question:** What is the NAT66 configuration for stateless prefix translation for outside networks?,SECURITY,CONNECTIVITY
577,How can we configure NPTv6 Translators to map multiple external addresses to a common internal address in a multihoming network?,SECURITY,ROUTING
578,How do you configure the range of ports used in NAT interface overload mapping?,SECURITY,ROUTING
579,How do you configure the port range for requesting ports from the Trusted Platform Module (TPM) when implementing Interface Overload Mapping with TPM for NAT router communication?,SECURITY,ROUTING
582,How can we configure our switches to support IGMP snooping for IGMPv3 messages?,ROUTING,CONNECTIVITY
595,"How can you filter specific source addresses or group addresses from IGMP reports for a subnet and restrict membership to (S,G) channel?",ROUTING,SECURITY
597,What is the recommended configuration for interfaces in a dense-mode region?,SECURITY,ROUTING
604,What commands would you use to configure filtering of IGMP sources for a specific group on a Cisco router?,SECURITY,ROUTING
605,"How can you enable source filtering in IGMPv3 for a multicast receiver host to signal to a device which groups it wants to receive multicast traffic from and from which sources this traffic is expected, on a Cisco router running Cisco IOS XE Release 3.8S?",SECURITY,ROUTING
608,How can we enable the IGMPv3 host stack for Source Specific Multicast (SSM) deployments in environments where fast channel change is required?,ROUTING,CONNECTIVITY
610,"How can you configure an interface to join a specified (S, G) channel and enable INCLUDE mode capability for that channel?",SECURITY,ROUTING
613,How do you configure IGMP Static Group Range Support feature on a Cisco device?,ROUTING,CONNECTIVITY
614,How do you define an SSM channel associated with an IGMP static group class map in Cisco IOS?,SECURITY,ROUTING
619,How can we remotely manage IGMP subscriptions and unsubscriptions from multicast groups using SNMP?,ROUTING,MONITORING
620,What is the primary use case for SSM Mapping?,GENERAL,ROUTING
627,How can we configure access lists (ACLs) to define group ranges and map them to sources when using static SSM mapping?,SECURITY,ROUTING
628,What is the requirement and configuration needed to configure the last hop router to perform reverse DNS lookup to determine sources sending to groups in SSM Mapping?,SECURITY,ROUTING
635,What is the DNS-based SSM mapping configuration to enable SSM mapping for multicast domain ssm-map.cisco.com?,SECURITY,ROUTING
637,What are the necessary configuration steps to enable SSM mapping in Cisco IOS XE software and configure the DNS server for SSM mapping?,GENERAL,ROUTING
638,What is the default SSM range access list configured in the router?,SECURITY,ROUTING
639,"To enable IGMP snooping globally on the network device, what command should you use?",ROUTING,CONNECTIVITY
641,How do you enable IGMP snooping on a Cisco device with specific configuration settings?,ROUTING,CONNECTIVITY
642,What are the two settings used to configure IP IGMP Snooping with explicit tracking limit and last-member-query-count in Cisco IOS?,ROUTING,CONNECTIVITY
643,How do you configure an EFP (Ethernet Flow Protocol) on a bridge domain interface?,GENERAL,CONNECTIVITY
645,How do you configure CGMP (Cisco Group Management Protocol) on a multicast device?,SECURITY,CONNECTIVITY
647,What is the Cisco IOS command used to enable IGMP snooping on a Layer 2 LAN switch for IP multicast constraining?,ROUTING,CONNECTIVITY
648,How do we enable CGMP snooping on high-end switches with special ASICs?,SECURITY,CONNECTIVITY
649,How do I enable IGMP snooping on my Cisco switch?,SECURITY,CONNECTIVITY
650,What is the requirement for enabling CGMP (Cisco Group Management Protocol) on devices connected to Catalyst switches?,SECURITY,CONNECTIVITY
651,How do you enable CGMP (Cisco Group Management Protocol) on an interface of a device connected to a Cisco Catalyst 5000 family switch?,SECURITY,CONNECTIVITY
652,What steps would you take to enable privileged EXEC mode and configure IP multicast in a Layer 2 Switched Ethernet network using RGMP?,SECURITY,ROUTING
654,How can we enable Reverse Path Forwarding (RGMP) only on interfaces that do not function as a designated forwarder (DF) for bidirectional groups?,SECURITY,ROUTING
656,How can we ensure that CGMP and RGMP do not interoperate on the same switched network?,SECURITY,CONNECTIVITY
657,What will happen to multicast traffic forwarding if RGMP is not enabled on both the router and the switch?,SECURITY,ROUTING
660,How can I enable RGMP (Router-Port Group Management Protocol) on a specific interface on a Cisco router?,SECURITY,ROUTING
661,How do you configure the router to use Router-Port Group Management Protocol (RGMP) for managing multicast groups?,SECURITY,ROUTING
663,How can we emulate bidirectional links for all IP traffic and support IP GRE multipoint at a receive-only tunnel?,CONNECTIVITY,ROUTING
664,How would you configure GRE tunnels for unidirectional links with separate configurations for upstream and downstream routers?,CONNECTIVITY,ROUTING
666,"What is the correct command to configure a UDLR (Universal Discovery Layer Relay) tunnel with receive-only mode, source IP address, destination hostname, and interface type number?",GENERAL,CONNECTIVITY
681,What is the format of the SNMP MIB access command in Cisco IOS XE to get multiple values at once?,SECURITY,MONITORING
687,"How can you enable and use a Tcl script on a Cisco IOS XE device to support file system protocols like TFTP, FTP, and rcp?",GENERAL,CONNECTIVITY
689,How do you configure the Auto-IP functionality on node interfaces for inclusion in an Auto-IP ring?,GENERAL,CONNECTIVITY
691,How would you configure the subnet mask for an IP network with 2000 hosts?,GENERAL,CONNECTIVITY
692,"To increase the number of IP hosts supported on a network segment, how can you use secondary IP addresses?",GENERAL,ROUTING
693,How can you configure a secondary IP address on an interface?,GENERAL,ROUTING
694,How can you enable privileged EXEC mode and configure subnet zero IP address on an interface?,GENERAL,CONNECTIVITY
697,How can I enable privileged EXEC mode on a router and configure it to display network masks in hexadecimal format?,GENERAL,ROUTING
699,How do you configure an IP address on a Cisco router?,GENERAL,CONNECTIVITY
700,How do you configure a point-to-point WAN interface with an IP address and enable the IP unnumbered feature?,CONNECTIVITY,ROUTING
701,How can we minimize the number of IP addresses required for our point-to-point WAN interfaces?,CONNECTIVITY,ROUTING
