id,question,answer,ground_truth_category
2923,How do you specify the IP address or hostname of the system to which the exporter sends data in Cisco IOS configuration?,,MONITORING
832,How do you define a CFM (Connectivity Fault Management) maintenance domain at a particular level?,,MONITORING
2087,How do you configure the trustpoint for the certificate authority (CA) to disable nonces in communications with the OCSP server?,,SECURITY
3221,What is the minimum requirement for configuring a GLBP group in terms of virtual IP addresses?,,ROUTING
3448,What is the correct command syntax to create a class-map with match-all semantics in Cisco IOS?,,QOS
155,How can we add proactive threshold conditions and reactive triggering for generating traps or starting another operation to an IP Service Level Agreements (SLAs) operation?,,MONITORING
3345,"How do you configure HSRP with MIB trap support functionality on two devices, with Device A having a higher priority level and enabling preemption?",,ROUTING
3787,What is the default priority value for a given requirement in Cisco IOS?,,GENERAL
4032,How do I view NBAR2 Taxonomy Information?,,MONITORING
4039,How can we enable protocol discovery for IPv6 and IPv4 packets on Fast Ethernet interface 1/1/2?,,MONITORING
778,How can you disable high threshold link monitoring for receive CRC errors on the Ethernet OAM interface?,,MONITORING
35,How to configure IP SLAs Multicast Support for UDP Jitter operations?,,MONITORING
2567,How can you configure application redundancy for a redundancy group in global configuration mode?,,GENERAL
3257,How can we enable HSRP MIB trap support for HSRP BFD Peering?,,MONITORING
1444,How do you configure SNMP notifications to be sent as traps or informs?,,MONITORING
32,How can you exit global configuration mode and return to privileged EXEC mode?,,GENERAL
2003,How can you enable channel-based measurement with a specific sampling packet size and rate on a Cisco device?,,MONITORING
1073,What is the value of the `rg_id` parameter in this configuration?,,GENERAL
3451,"How can you differentiate traffic for voice, video, and YouTube classes in a policy-map and apply actions like priority, police, and bandwidth?",,QOS
3445,How can you configure QoS policies aggregation with egress MQC queuing at subinterface level?,,QOS
4525,How do I configure Traffic Policing to limit the output transmission rate of a class of traffic based on user-defined criteria?,,QOS
3065,"How to configure an interface with IPv6 address and settings for DMVPN, NHRP, and tunnel parameters?",,ROUTING
2716,What command is used to configure the aging out of firewall sessions?,,SECURITY
2417,"How can you match the Internet Control Message Protocol (ICMP) on a Windows system using the `traceroute` command, and configure an out-to-in zone-based policy with ICMP time-exceeded and host unreachable commands using the `pass` command in Cisco IOS XE Release 3.1S?",,SECURITY
1277,How do I enable MSDP SA-Request Filtering on my device?,,SECURITY
4320,What happens when none of the routers in the network have any interested receivers for a given multicast group address?,,ROUTING
1354,How can we configure the router to participate in a multicast network by joining a specific group address for all interfaces?,,ROUTING
1320,How do you configure the tunnel source and destination addresses to match between Router A and Router B?,,CONNECTIVITY
1940,What is the Cisco IOS XE software requirement for ensuring Zero SLA in a network?,,GENERAL
4172,How can we increase the maximum number of packets tracked by the IPsec Anti-Replay feature in our Cisco router configuration?,,SECURITY
190,How do you configure the SNMP owner and number of paths for which statistics are maintained per hour for an IP SLAs operation?,,MONITORING
3452,How to implement QoS using policy-maps and class-maps in Cisco IOS XE Gibraltar to limit the voice traffic to 10 Mbps for parent-vlan100 and 5 Mbps for parent-vlan200?,,QOS
3893,What conditions must be met for a gateway to be considered reachable and routes to be installed in the RIB?,,ROUTING
775,What command can you use to configure a port for Link Fault RFI Support by putting it into a blocking state when an OAM PDU control request packet is received with the Link Fault Status flag set?,,CONNECTIVITY
450,What are the steps to configure redundancy group settings for a redundancy application group in Cisco IOS?,,GENERAL
1531,How do you configure the default-information originate command on an interface to control the originating of the default route (::/0) in updates sent on that interface?,,ROUTING
197,What is the configuration for the Path Echo operation (ip sla 3) from Device B to Device A?,,MONITORING
1941,How do you configure an internet-bound interface with specific attributes for Internet Service Providers (ISPs) using Cisco IOS XE?,,CONNECTIVITY
3367,What is the recommended configuration to configure multiple devices as the default gateway using VRRP (Virtual Router Redundancy Protocol) in a network to reduce the possibility of a single point of failure?,,ROUTING
1966,How can we enable PfRv3 Remote Prefix Tracking feature to learn the prefix of a remote device from the Routing Information Base (RIB) table in Cisco IOS?,,ROUTING
510,How can we optimize the High-Speed Logging in Bulk Logging and Port Block Allocation to reduce the volume of NAT high-speed logging?,,MONITORING
73,How can we enable IP SLAs Cisco Packet Processor (CPP) time stamping to improve the accuracy of IP SLAs UDP jitter operations on our Cisco ASR 1000 Series routers?,,MONITORING
703,How can we configure an IP address with a 31-bit prefix on a point-to-point interface when IP classless addressing is enabled?,,CONNECTIVITY
3568,How can we mark MPLS packets with a specific Experimental value according to the QoS (Quality of Service) policy?,,QOS
1711,What are the steps to update existing server groups in Cisco IOS to reference newly defined cache groups for optimization and failover mechanisms?,,GENERAL
1026,How are ports uniquely identified within a system in this configuration?,,GENERAL
2774,How can I enable ALGs (Application Layer Gateways) and AICs (Inspection Components) in zone-based policy firewalls?,,SECURITY
2831,What is the purpose of configuring vTCP on a firewall?,,SECURITY
195,What is the current IP SLAs configuration on the router?,,MONITORING
1686,How to enable domain stripping on the server group level for RADIUS servers in Cisco IOS?,,SECURITY
3454,What is the purpose of creating multiple policy-map configurations in this scenario?,,QOS
3407,How do you enable RTP header compression (cRTP) on a Cisco ASR 1k series router running Cisco IOS XE Release 2.1?,,QOS
2866,How can we ensure granular security control over application-specific commands while synchronizing multiple streams or sessions of data between two hosts?,,SECURITY
2446,How to configure a class-map type inspect for most-traffic and create an inspect type policy-map with HTTP as match criteria?,,SECURITY
2829,What are the minimum system requirements to enable vTCP for ALG support on Cisco IOS XE Release 3.1 or later?,,GENERAL
3609,How can you configure egress policing and marking on port-channel member links?,,QOS
4297,"How can we maintain counts, rates, and bytes of received, dropped, and forwarded multicast packets?",,MONITORING
2884,How do you enable Mediatrace Initiator on the configuring node and configure each node that collects information to act as a Mediatrace Responder?,,MONITORING
2948,What is the total number of packets sent by the client?,,MONITORING
1032,What is the value of `max-bundle` that should be configured on the DHD to ensure maximum reliability in case of link failures?,,CONNECTIVITY
3744,What is the command to set up the domain name for R11 as per the requirement?,,GENERAL
2149,What happens if there is no IP connectivity at the completion of the prep-connect phase?,,CONNECTIVITY
756,"What are the maximum OAM PDU size settings for receipt and delivery, as well as rate limiting configuration, to control bandwidth allocation for OAM traffic on our Cisco device?",,QOS
4150,How can you ensure that the clock on your network device remains configured even after it is reloaded?,,GENERAL
2856,What is the command used to enter interface configuration mode?,,GENERAL
111,What is the default value for IP SLAs Ethernet ping operations?,,MONITORING
3369,What is the correct way to configure the priority for a VRRP device function as a virtual primary device backup?,,ROUTING
2870,How do you enable SIP Inspection on the device?,,SECURITY
2985,How do you set up memory reservation for critical operations in Cisco IOS?,,GENERAL
552,What is the timeout value for SIP ALG resilience to DoS attacks?,,SECURITY
3850,What is the IP address of the GigabitEthernet0/0/3 interface in the Border?,,CONNECTIVITY
431,How can you configure Dynamic Stateful Network Address Translation 64 (DS-Lite) to translate IPv6 addresses to IPv4 addresses on a Cisco device?,,CONNECTIVITY
2908,What is the egress interface configuration required for the network?,,CONNECTIVITY
395,How can we monitor the NAT translation information?,,MONITORING
188,How can I enable privileged EXEC mode?,,GENERAL
3650,"How can we configure class-based policing to mark RTP traffic with COS 3 if it exceeds the configured rate, while dropping any other excess traffic?",,QOS
4337,"How can I locate and download MIBs for selected platforms, Cisco IOS releases, and feature sets using Cisco MIB Locator?",,MONITORING
3091,"How can we enable SNMP NHRP traps for NHS, NHC, and NHP events on a Cisco device?",,MONITORING
446,How can we configure an Active/Active Redundancy Group for load sharing between two interfaces?,,CONNECTIVITY
1269,How can you configure MSDP keepalive settings for additional peers in Cisco IOS?,,ROUTING
1497,What encryption protocol can be used for authentication in SNMP Version 3 on a Cisco device?,,SECURITY
3535,How can you provide unique treatment to different classes of traffic on a physical interface without VLAN tags?,,QOS
3701,What is the new maximum threshold for WRED (Weighted Random Early Detection) to provide preferential treatment to af11 over af12 under congestion?,,QOS
903,How can we implement non-stop forwarding (NSF) and non-stop routing (NSR) on Gigabit EtherChannel bundles?,,ROUTING
3596,What command is used to attach a traffic policy to the EVC?,,QOS
4060,What are the available attributes for configuring NNTP protocol in a device?,,GENERAL
13,What happens to one-way delay measurements when time synchronization is not required for one-way jitter and packet loss measurements in Cisco IOS?,,MONITORING
3902,What steps can be taken to configure BFD support for BGP to receive forwarding path detection failure messages from BFD?,,ROUTING
445,How can you configure application redundancy on a device?,,GENERAL
3419,What are the steps to implement AAA security services with TACACS+ for PAP authentication on a serial interface?,,SECURITY
4211,How do you enable QoS group-based LLQ for IPsec encryption engines?,,QOS
3401,How do I enable RTP header compression in Cisco IOS?,,QOS
1906,What are the IPsec profile configurations for DMVPN on a Cisco device?,,SECURITY
359,What type of traffic does not support asymmetric routing in Interchassis Asymmetric Routing Support for Zone-Based Firewall and NAT?,,SECURITY
4562,What is an effective way to implement class-based policing in Cisco IOS to limit traffic entering or exiting a network?,,QOS
471,What is the configuration command to enable MAP-T with Path MTU Discovery and Fragmentation for IPv4-to-IPv6 translation on Cisco routers?,,ROUTING
4254,How can we configure the Manager in Cisco IOS to monitor multicast routing?,,MONITORING
3990,How would you apply Quality of Service (QoS) to an application that uses a specific protocol with dynamically assigned TCP port numbers?,,QOS
1537,How can we configure route tags for IPv6 RIP routes in Cisco IOS?,,ROUTING
659,How can we configure an RGMP-enabled router to prevent it from sending an RGMP leave message until it stops receiving or forwarding traffic for a specific multicast group?,,ROUTING
497,What type of address pooling is supported by Cisco routers in both classic and carrier-grade NAT modes?,,ROUTING
1782,What is the command used to configure an interface type and enter interface configuration mode?,,GENERAL
964,What Cisco IOS command can you use to map ingress Dot1Q frames to the appropriate service instance?,,CONNECTIVITY
887,How can you verify connectivity with port tagging configured on the GigabitEthernet0/2 interfaces?,,CONNECTIVITY
2564,"In an asymmetric routing scenario, what configuration is required to ensure that the redundancy interface identifier (RII) maps correctly to interfaces, route groups (RGs), and applications?",,ROUTING
398,How can we configure NetFlow-like records to be sent to an external collector for each binding and when sessions are created and destroyed in Cisco IOS?,,MONITORING
4295,How do I enable DiffServ MIB support for Quality of Service (QoS) on a Cisco device?,,QOS
3633,How do you enter interface configuration mode to configure a virtual template interface?,,GENERAL
1012,How can I monitor the LLDP neighbors in my multivendor network?,,MONITORING
4565,How to configure Class-Based Policing for Traffic Policing Service Policy?,,QOS
1395,How does the device handle multicast datagram forwarding when using Reverse Path Forwarding (RPF)?,,ROUTING
4225,How do you configure IPv6 on a tunnel interface in Cisco IOS?,,ROUTING
2091,"How can you configure a VPN gateway with subject name ""o=Home Office Inc,cn=Central VPN Gateway"" to use Certificate Revocation List (CRL) for revocation checks and remove the match certificate command once the branch router has a new certificate?",,SECURITY
113,What command can I use to enter privileged EXEC mode in Cisco IOS?,,GENERAL
2537,How do you configure a zone member for security in Cisco IOS?,,SECURITY
2115,"How can I request separate encryption, signature keys, and certificates with the same key size in Cisco IOS?",,SECURITY
2239,How do you configure the RSA key generation for a Cisco device's certificate authority (CA) to enroll with a trust point?,,SECURITY
3046,How can we enable IPv6 NHRP Redirect and Shortcut features on our dual-stack device to optimize routing and trigger NHRP when necessary?,,ROUTING
3484,How can we adjust the default scheduling length per packet to achieve a specific behavior?,,QOS
2084,What is the configuration required to ensure that the router is authorized to connect using VPN and check with a Cisco Secure ACS AAA server prior to establishing a VPN connection?,,SECURITY
4177,How can we ensure that our router is configured to handle a large number of packets received?,,QOS
1519,What configuration command would you use to configure periodic MIB data collection and transfer mechanism with retry attempts for file transfers?,,MONITORING
2134,What is the configuration of the RSA key pair used for general purpose and encryption usage in our network?,,SECURITY
3965,How can I exit the keychain-key configuration mode and return to privileged EXEC mode?,,GENERAL
235,"How can we configure the IP SLAs Multioperation Scheduler to ensure only one operation is scheduled at any given time, unless the random scheduler option is disabled?",,MONITORING
3510,What are the classification statistics and criteria for the video class in this Cisco network configuration?,,QOS
238,"What is the configuration command used to schedule operations with uniformly distributed random intervals over a schedule period of 50 seconds, starting immediately?",,GENERAL
224,How do I enter privileged EXEC mode on the device?,,GENERAL
3688,How does the visible bandwidth of a queue depend on the configuration commands used?,,QOS
410,How to configure a routing network for Stateless NAT64 translation?,,ROUTING
1287,"When processing an incoming (*, G) Join in a PIM-enabled network, how can we ensure that receiving devices use their own RP if it differs from the one specified in the join message?",,ROUTING
4463,What configuration is required for template services activation at the child level?,,GENERAL
1605,"What is the default authentication method used for ARAP (Apple Remote Access Protocol) connections when the ""aaa authentication arap default line"" configuration command is issued?",,SECURITY
989,How can we achieve accelerated deployment of new services and applications while reducing network downtime during upgrades?,,GENERAL
1207,How to configure Source Specific Multicast (SSM) for access lists in IP Multicast Operation?,,ROUTING
2711,How can you enable privileged EXEC mode on the Cisco router?,,GENERAL
2472,What is the configuration command used to permit traffic from a specific source IPv6 address (2001:DB8:1::2) to a destination IPv6 address (209.165.201.25)?,,SECURITY
1113,ow can you configure a dual-homed device to enable trunking on a Port-channel interface? ,,CONNECTIVITY
1603,How is the AAA authentication configured to allow guest logins through ARAP and use RADIUS as a backup method?,,SECURITY
2143,How can I establish IP connectivity between the petitioner device and the server?,,CONNECTIVITY
152,How can I exit the global configuration mode and return to privileged EXEC mode?,,GENERAL
3589,What command can be used to configure the minimum bandwidth guarantee for a class and enable flow-based queueing feature within that traffic class?,,QOS
1972,What are the probing parameters configured for the regular interface (Branch 1 Router) and LTE interface (Branch 2 Router)?,,MONITORING
123,How do you configure the receiver on the responder to enter IP SLA Y.17.31 delay configuration mode?,,MONITORING
675,What is the purpose of GigabitEthernet1/0/0 interface in this configuration?,,CONNECTIVITY
281,"What does the ""ip nat inside"" command do in Cisco IOS?",,CONNECTIVITY
912,How can you set the LACP system priority and port priority on a Cisco device?,,CONNECTIVITY
4292,How can we configure syslog to ensure reliable delivery and filtering of log messages?,,MONITORING
4091,How can we configure our router to dynamically monitor critical applications and collect detailed Layer 7 metrics for fine-grained NBAR (Network-Based Application Recognition) in selective applications?,,MONITORING
4235,How can we configure the maximum number of Virtual Circuits (VCs) allowed for PIM?,,ROUTING
1926,What are the necessary steps to configure BR95 as a border router with VRF 'default' and establish a tunnel to DMVPN2 (INET)Link?,,ROUTING
1694,How can we implement a throttling mechanism for controlling packets at the NAS level to improve RADIUS server performance?,,QOS
231,How do we divide operations for operation group 3 when scheduling operations in each 1-second interval?,,GENERAL
1087,What is the MLACP configuration for interchassis grouping and load balancing across multiple VLANs?,,CONNECTIVITY
4502,How can we configure the router to download the name of the policy map from RADIUS using the Cisco AV-pair and apply the QoS policy to the session?,,QOS
364,How can you ensure that MPLS diversion with label removal occurs before asymmetric routing happens in your network configuration?,,ROUTING
3339,How do you enable Stateful Switchover (SSO) for HSRP on Cisco IOS devices?,,ROUTING
2914,What is a common use case for acquiring IP operational data from IP networks?,,MONITORING
731,How to configure auto-IP on EtherChannel interface in Cisco IOS?,,CONNECTIVITY
3027,What is the command to configure the ISAKMP key for dynamic multipoint VPN in Cisco routers?,,SECURITY
4083,How do I enable the HTTP-based visibility dashboard for NBAR2 in Cisco IOS?,,MONITORING
1216,What is the configuration for the Loopback interfaces that must be routed throughout the PIM domain to allow communication with the RP?,,ROUTING
3623,How can we implement absolute bandwidth for EtherChannel Quality of Service (QoS) to ensure a minimum amount of bandwidth for VLANs?,,QOS
1332,What command can you use to enable Source Specific Multicast (SSM) range for IP multicast addresses?,,ROUTING
1131,What are the features of VxLAN GPE tunnel in this configuration?,,CONNECTIVITY
3554,"How do you set up QoS for telepresence-video, jabber-video, and egress-video-traffic packets that match classification using NBAR on ingress, and apply the same classification on egress?",,QOS
4144,How can you configure the NAS to accept or reject specific RADIUS attributes?,,SECURITY
229,How can we ensure that operations in operation group 2 start at evenly distributed intervals within the configured schedule period of 20 seconds?,,GENERAL
4520,"What is the policing configuration for traffic exceeding the threshold in the ""class-default"" class of the ""parent-policy"" policy map?",,QOS
2557,How can we enable interchassis asymmetric routing support for zone-based firewall and NAT configuration on Cisco devices?,,SECURITY
3446,"How do you configure class-maps to classify traffic into different classes, such as voice and video, on a Cisco ASR 1000 Series Aggregation Services Router?",,QOS
