"f","question","category","source","decision_manual","ollama","openai","sampled_by"
"4091","How can we configure our router to dynamically monitor critical applications and collect detailed Layer 7 metrics for fine-grained NBAR (Network-Based Application Recognition) in selective applications?","MONITORING","coincidencia","MONITORING","","",""
"133","What are the scheduling parameters that can be configured for an individual IP SLAs operation?","QOS","desacuerdo","MONITORING","QOS","MONITORING","ollama"
"3334","What is the correct configuration command to prevent any HSRP state change and ensure the active device's key string is changed no later than one hold-time period after nonactive devices?","ROUTING","desacuerdo","ROUTING","ROUTING","SECURITY","ollama"
"701","How can we minimize the number of IP addresses required for our point-to-point WAN interfaces?","CONNECTIVITY","desacuerdo","ROUTING","CONNECTIVITY","ROUTING","ollama"
"990","How can we configure Cisco's Connectivity Fault Management (CFM) to manage EVCs and untagged Ethernet flow points (EFPs)?","CONNECTIVITY","desacuerdo","CONNECTIVITY","CONNECTIVITY","MONITORING","ollama"
"377","How can you enable VRF-aware interchassis asymmetric routing support for zone-based firewalls and NAT in Cisco devices?","SECURITY","desacuerdo","ROUTING","ROUTING","SECURITY","openai"
"4114","What are the four accounting attributes that can be used to track session information in RADIUS?","SECURITY","desacuerdo","SECURITY","SECURITY","MONITORING","ollama"
"1791","What is the PPoE component type for NAS IP?","CONNECTIVITY","desacuerdo","CONNECTIVITY","SECURITY","CONNECTIVITY","openai"
"66","How can I configure the UPD Jitter Operation with QFP Time Stamping on my XE Gibraltar 16.11.x router?","QOS","desacuerdo","MONITORING","QOS","MONITORING","ollama"
"2868","How does the SIP ALG (Application-Level Gateway) support reliable exchanges of provisional responses between SIP endpoints?","CONNECTIVITY","desacuerdo","CONNECTIVITY","SECURITY","CONNECTIVITY","openai"
"3889","What command must be configured on an interface to initiate BFD monitoring for nonbroadcast media interfaces and VPN routing and forwarding interfaces?","MONITORING","desacuerdo","ROUTING","MONITORING","ROUTING","ollama"
"643","How do you configure an EFP (Ethernet Flow Protocol) on a bridge domain interface?","GENERAL","desacuerdo","CONNECTIVITY","GENERAL","CONNECTIVITY","ollama"
"1685","How do you configure domain stripping at the server group level in Cisco IOS?","GENERAL","desacuerdo","SECURITY","SECURITY","GENERAL","openai"
"438","How can we achieve Interchassis redundancy support for stateful Network Address Translation 64 (NAT64) in our network configuration?","ROUTING","desacuerdo","CONNECTIVITY","ROUTING","CONNECTIVITY","ollama"
"2846","What is the format of the PORT command used by FTP66 ALG to specify the address and port number for a server to connect?","CONNECTIVITY","desacuerdo","CONNECTIVITY","SECURITY","CONNECTIVITY","openai"
"709","How can we conserve IP address space on an interface while allowing the use of the all-zeros subnet as an IP address?","ROUTING","desacuerdo","CONNECTIVITY","GENERAL","ROUTING","openai"
"3999","How can we perform deep-packet inspection into RTP header for classification of RTP packets in Cisco devices?","QOS","desacuerdo","QOS","SECURITY","QOS","openai"
"1982","How can we enable Direct Cloud Access IWAN 2.3 feature to provide the best application experience for SaaS applications like Office 365 and Google services while reducing costs?","CONNECTIVITY","desacuerdo","ROUTING","CONNECTIVITY","ROUTING","ollama"
"81","How does the IP SLAs superoperation measure network connectivity across all equal-cost multipaths between the source PE device and discovered destination PE device?","CONNECTIVITY","desacuerdo","MONITORING","CONNECTIVITY","MONITORING","ollama"
"1947","How do you configure the tunnel interface and tunnel path from R11?","CONNECTIVITY","desacuerdo","CONNECTIVITY","CONNECTIVITY","ROUTING","ollama"
"2554","How to configure the GigabitEthernet0/1/3 interface with primary IP address 10.1.1.1 and mask 255.255.255.0, and mark it as connected to the outside using ip nat outside?","SECURITY","desacuerdo","CONNECTIVITY","SECURITY","CONNECTIVITY","ollama"
"608","How can we enable the IGMPv3 host stack for Source Specific Multicast (SSM) deployments in environments where fast channel change is required?","CONNECTIVITY","desacuerdo","ROUTING","ROUTING","CONNECTIVITY","openai"
"1903","What is the command to configure an FTP server with username ""mgcusr"" and password ""mgcusr""?","GENERAL","desacuerdo","SECURITY","SECURITY","GENERAL","openai"
"1420","How do you assign identification numbers to interfaces and subinterfaces on a Cisco router?","GENERAL","desacuerdo","CONNECTIVITY","GENERAL","CONNECTIVITY","ollama"
"3796","What are the configuration settings for Tunnel1, including its status and SLA and Path of Last Resort options?","CONNECTIVITY","desacuerdo","CONNECTIVITY","CONNECTIVITY","ROUTING","ollama"
"574","**Question:** What is the NAT66 configuration for stateless prefix translation for outside networks?","SECURITY","desacuerdo","CONNECTIVITY","SECURITY","CONNECTIVITY","ollama"
"577","How can we configure NPTv6 Translators to map multiple external addresses to a common internal address in a multihoming network?","ROUTING","desacuerdo","CONNECTIVITY","SECURITY","ROUTING","openai"
"2233","How can I display all outstanding certificate enrollment requests?","MONITORING","desacuerdo","SECURITY","MONITORING","SECURITY","ollama"
"2547","What is the mechanism used by Cisco Network Address Translation (NAT) to identify the VRF and datapath in VRF-aware interchassis asymmetric routing?","SECURITY","desacuerdo","CONNECTIVITY","SECURITY","ROUTING","ollama"
"1019","How do you configure LLDP on Device 1 with hold time, timer, and TLV options?","CONNECTIVITY","desacuerdo","MONITORING","CONNECTIVITY","MONITORING","ollama"
"1862","What is the correct configuration command to set up a device as a hub-master controller at the hub site?","GENERAL","desacuerdo","CONNECTIVITY","GENERAL","CONNECTIVITY","ollama"
"3193","What are the steps to apply Policy Maps to Spoke, enabling MPOL (Multicast Protocol Over Layer 2 Tunnels) on a Cisco router?","ROUTING","desacuerdo","QOS","QOS","ROUTING","openai"
"1078","How do you configure ICCP multichassis VLAN redundancy and port channel for pseudo mLACP?","ROUTING","desacuerdo","CONNECTIVITY","ROUTING","CONNECTIVITY","ollama"
"2224","What command do we need to use to define the CDP location for certificates issued by the certificate server in Cisco IOS?","SECURITY","desacuerdo","SECURITY","GENERAL","SECURITY","openai"
"4093","How can we configure NBAR Custom Applications to classify TCP or UDP traffic with an IP address that matches a domain name containing the expression ""example""?","QOS","desacuerdo","MONITORING","SECURITY","QOS","openai"
"578","How do you configure the range of ports used in NAT interface overload mapping?","SECURITY","desacuerdo","CONNECTIVITY","SECURITY","ROUTING","ollama"
"1018","How do you enable LLDP transmission on the interfaces of Device2?","MONITORING","desacuerdo","MONITORING","CONNECTIVITY","MONITORING","openai"
"4256","How can you send test packets using RTP and specify the target interfaces?","CONNECTIVITY","desacuerdo","MONITORING","CONNECTIVITY","MONITORING","ollama"
"4517","How do you prevent the removal of an active color-aware class map?","SECURITY","desacuerdo","SECURITY","SECURITY","QOS","ollama"
"868","What is the domain name and MIP ID configured for Ethernet CFM?","MONITORING","desacuerdo","MONITORING","GENERAL","MONITORING","openai"
"1431","How do I reconfigure SNMP settings for an existing user to remove the user and set up a new password?","SECURITY","desacuerdo","MONITORING","SECURITY","MONITORING","ollama"
"741","How can you enable auto mode on all ports in the ring for automatic IP address configuration?","CONNECTIVITY","desacuerdo","CONNECTIVITY","GENERAL","CONNECTIVITY","openai"
"2854","What are the steps required to configure NAT64 for FTP66 ALG support on a Cisco router?","CONNECTIVITY","desacuerdo","CONNECTIVITY","SECURITY","CONNECTIVITY","openai"
"1697","How do you configure throttling of server-group accounting and access request packets in Cisco IOS?","SECURITY","desacuerdo","SECURITY","QOS","SECURITY","openai"
"948","How can we process and classify IP GRE encapsulated Ethernet packets with transparent Ethernet bridging protocol (0x6558) as Ethernet over soft GRE packets?","QOS","desacuerdo","CONNECTIVITY","QOS","CONNECTIVITY","ollama"
"1355","What configuration was applied to disable directed broadcast forwarding and enable split horizon?","ROUTING","desacuerdo","ROUTING","SECURITY","ROUTING","openai"
"285","How can we configure NAT (Network Address Translation) to conserve IP addresses and only translate external IP addresses?","ROUTING","desacuerdo","CONNECTIVITY","SECURITY","ROUTING","openai"
"4534","How can I display statistics and configurations of all input and output policies attached to an interface?","MONITORING","desacuerdo","QOS","MONITORING","QOS","ollama"
"1284","How do I configure Cisco CSR 1k to support MSDP MD5 password authentication for IP multicast?","SECURITY","desacuerdo","ROUTING","ROUTING","SECURITY","openai"
"2512","What command is used to configure the redundancy group (RG) with a specific name?","GENERAL","desacuerdo","CONNECTIVITY","GENERAL","CONNECTIVITY","ollama"
"3320","How can we configure our network to prevent ICMP redirects from being sent to passive HSRP devices?","ROUTING","desacuerdo","SECURITY","SECURITY","ROUTING","openai"
"1942","How can we reduce the probing frequency on all channels using Zero-SLA in our Cisco ASR 1002-X router?","MONITORING","desacuerdo","MONITORING","QOS","MONITORING","openai"
"558","How can you configure a NAT configuration with a shared address pool inside a specific VRF?","SECURITY","desacuerdo","CONNECTIVITY","SECURITY","ROUTING","ollama"
"324","How can you enable CGN operating mode on a Cisco device and define a standard access list with a host?","SECURITY","desacuerdo","CONNECTIVITY","SECURITY","ROUTING","ollama"
"554","How can we ensure that different VPNs have their own separate address space for translated addresses in Cisco IOS?","SECURITY","desacuerdo","CONNECTIVITY","SECURITY","ROUTING","ollama"
"182","What is the maximum length of operation ID numbers that can be added to a multioperation group when scheduling IP SLAs operations?","QOS","desacuerdo","MONITORING","QOS","MONITORING","ollama"
"1816","How can we monitor and maintain the Login Password Retry Lockout status?","MONITORING","desacuerdo","SECURITY","MONITORING","SECURITY","ollama"
"90","What is the secondary frequency setting for IP Service Level Agreement (SLA) operation in case of a connection loss?","MONITORING","desacuerdo","MONITORING","GENERAL","MONITORING","openai"
"3509","How do you verify the operation of scheduling with show policy-map interface command to view long term trends and complete view of the policy?","QOS","desacuerdo","QOS","MONITORING","QOS","openai"
"2322","How can you specify the IP address of the remote peer in Cisco IOS?","ROUTING","desacuerdo","CONNECTIVITY","ROUTING","CONNECTIVITY","ollama"
"1020","What is the command used to clear Link Layer Discovery Protocol (LLDP) data on a Cisco device?","GENERAL","desacuerdo","MONITORING","GENERAL","MONITORING","ollama"
"2551","How do you configure redundancy, interface identifier (RII), and redundancy group with decrement number on a Cisco device?","CONNECTIVITY","desacuerdo","CONNECTIVITY","ROUTING","CONNECTIVITY","openai"
"2818","How can you configure a Layer 7 Class Map to classify Sun RPC traffic in Cisco IOS?","QOS","desacuerdo","QOS","SECURITY","QOS","openai"
"4014","How can you configure a class map to match specific applications using Cisco IOS?","QOS","desacuerdo","QOS","SECURITY","QOS","openai"
"2172","How do I specify my router as a registrar for an SDP exchange in global configuration mode?","ROUTING","desacuerdo","SECURITY","ROUTING","CONNECTIVITY","ollama"
"3561","How can we disable packet marking statistics in our Cisco device?","MONITORING","desacuerdo","MONITORING","MONITORING","QOS","ollama"
"1576","How can we enable Bidirectional Forwarding Detection (BFD) on RIPv2 neighbors?","ROUTING","desacuerdo","ROUTING","CONNECTIVITY","ROUTING","openai"
"44","What is the typical method used to evaluate the performance of UDP-based VoIP traffic when configuring IP SLAs operations?","QOS","desacuerdo","MONITORING","QOS","MONITORING","ollama"
"396","What are the steps to set high and low thresholds for an address pool in Cisco IOS?","CONNECTIVITY","desacuerdo","CONNECTIVITY","GENERAL","CONNECTIVITY","openai"
"453","How do I show NAT64 translations for the protocol TCP and configure a redundancy group-id?","CONNECTIVITY","desacuerdo","CONNECTIVITY","SECURITY","CONNECTIVITY","openai"
"3998","What is the default port number used by RTCP in NBAR configuration?","GENERAL","desacuerdo","MONITORING","GENERAL","QOS","ollama"
"1101","What is the delay variation value set for the IP SLAs Ethernet operation?","QOS","desacuerdo","MONITORING","QOS","MONITORING","ollama"
"2992","To enable SNTP (Simple Network Time Protocol) authentication on a Cisco device, which command would you use?","MONITORING","desacuerdo","MONITORING","SECURITY","MONITORING","openai"
